 t,a,e,inc,omega,varpi,f
 0.0000000000000000E+00, 1.9236554002346072E+01, 4.5336390361493353E-02, 1.3478912118546134E-02, 1.2907208198457205E+00, 1.9612345588631521E+00,-3.1349377626642143E+00
 3.6525000000000000E+05, 1.9129804813515982E+01, 5.1313196158771036E-02, 1.3208002549637983E-02, 1.3041078587657600E+00,-4.8561402378828404E+00, 3.1335743733284653E+00
 7.3050000000000000E+05, 1.9277338238510577E+01, 4.3514279091134901E-02, 1.2927629201415986E-02, 1.3222508812960023E+00,-5.3596227886165080E+00, 3.0540215559265622E+00
 1.0957500000000000E+06, 1.9154303666624866E+01, 4.2423014525677101E-02, 1.2665205960647389E-02, 1.3359053856792975E+00,-5.5074229943568209E+00, 2.5680164066584377E+00
 1.4610000000000000E+06, 1.9234661295704743E+01, 4.7866720311047585E-02, 1.2391768246559794E-02, 1.3566205536637197E+00, 2.5948610579958373E+00, 8.6141201362863615E-02
 1.8262500000000000E+06, 1.9252247807623881E+01, 5.0355336403567777E-02, 1.2214326252419990E-02, 1.3735990160992912E+00, 2.0083302776402912E+00, 4.8166689387226002E-03
 2.1915000000000000E+06, 1.9156008461242237E+01, 4.3438487194119177E-02, 1.1989471090589563E-02, 1.3952800282641047E+00, 1.3416901944688646E+00,-1.1110746176860706E-02
 2.5567500000000000E+06, 1.9316023196918064E+01, 4.5953951266450743E-02, 1.1833343286227482E-02, 1.4160772824540599E+00, 7.2617655336174425E-01,-7.8508479642939763E-02
 2.9220000000000000E+06, 1.9168245215208653E+01, 4.4011721072375991E-02, 1.1648094313687140E-02, 1.4369001204947822E+00, 2.7115069101752471E+00,-2.7312371289674848E+00
 3.2872500000000000E+06, 1.9267746084949390E+01, 4.2501106741706610E-02, 1.1471016811925021E-02, 1.4605430887981650E+00, 2.4423103071404424E+00,-3.0839936573787092E+00
 3.6525000000000000E+06, 1.9233769642318453E+01, 4.4292655255469014E-02, 1.1385594338920274E-02, 1.4820720267717669E+00, 1.9307721308210197E+00,-3.1373503352470875E+00
 4.0177500000000000E+06, 1.9189054633789247E+01, 4.3740708597031441E-02, 1.1235739064220263E-02, 1.5055052145781027E+00,-4.9245344350810010E+00, 3.1319126529761214E+00
 4.3830000000000000E+06, 1.9313906874074284E+01, 3.9036747676196554E-02, 1.1182111538617149E-02, 1.5309162042606665E+00,-5.4759343890766745E+00, 3.0612151261173808E+00
 4.7482500000000000E+06, 1.9156378472776460E+01, 4.4184096542015328E-02, 1.1047279098452703E-02, 1.5514878628176452E+00,-5.6047413073613299E+00, 2.5661084598345236E+00
 5.1135000000000000E+06, 1.9283850221186402E+01, 5.0070193302115346E-02, 1.1007869945991717E-02, 1.5656639617052919E+00, 4.6957157933135008E-01, 6.6628899382627810E-02
 5.4787500000000000E+06, 1.9227690936146921E+01, 4.5486587791137893E-02, 1.0960369452892006E-02, 1.5456778984708999E+00, 1.2111829457503414E+00, 2.0787832317621094E-03
 5.8440000000000000E+06, 1.9195290761157878E+01, 4.1881481692673528E-02, 1.0907389057681082E-02, 1.5229600461545931E+00, 1.9278903228803848E+00,-9.5296831503503369E-03
 6.2092500000000000E+06, 1.9282612776221470E+01, 4.7086440411258410E-02, 1.0893705591880956E-02, 1.5005983326722745E+00, 2.7006361391612983E+00,-8.7461292104632909E-02
 6.5745000000000000E+06, 1.9129783389014694E+01, 4.7027808975785818E-02, 1.0817894228862772E-02, 1.4817805198546585E+00,-1.6022231875696447E-01,-2.8651242473177252E+00
 6.9397500000000000E+06, 1.9273671628326252E+01, 4.1994301386967997E-02, 1.0828448695140791E-02, 1.4581356506285714E+00, 6.6026603174514875E-01,-3.0949519405715855E+00
 7.3050000000000000E+06, 1.9169767734010239E+01, 4.4070223366690461E-02, 1.0818940922825145E-02, 1.4463213532671502E+00, 1.2876208415032717E+00,-3.1384666554343146E+00
 7.6702500000000000E+06, 1.9186589869774718E+01, 4.3236545648113175E-02, 1.0811108012317263E-02, 1.4221192862115613E+00,-4.3708650202335102E+00, 3.1319573947021495E+00
 8.0355000000000000E+06, 1.9252058854579285E+01, 4.2774044436249763E-02, 1.0807735052901380E-02, 1.4074626484182344E+00,-3.7100416924333461E+00, 3.0602497128710486E+00
 8.4007500000000000E+06, 1.9114127714478446E+01, 4.6792130535118451E-02, 1.0738308931335349E-02, 1.3893257013259153E+00,-2.0740264800776225E+00, 2.0197957148500509E+00
 8.7660000000000000E+06, 1.9274603422216803E+01, 4.6530456806768879E-02, 1.0762315533042454E-02, 1.3734108577823159E+00, 5.4696240948013486E-01, 5.0813692344187332E-02
 9.1312500000000000E+06, 1.9159457468454377E+01, 4.0358389182185067E-02, 1.0754179172127967E-02, 1.3611752867709288E+00, 1.2889527376086047E+00, 2.0743541052748149E-03
 9.4965000000000000E+06, 1.9218874825148244E+01, 4.4851032115284156E-02, 1.0733409111789997E-02, 1.3402999965403024E+00, 2.0090896034573720E+00,-1.1637055016461215E-02
 9.8617500000000000E+06, 1.9238360985154412E+01, 4.9061678420729095E-02, 1.0702820584352787E-02, 1.3296136969916501E+00, 2.7913594390686591E+00,-1.3640090979699607E-01
 1.0227000000000000E+07, 1.9144652564028217E+01, 4.3932604907933305E-02, 1.0603822669767090E-02, 1.3098233231222094E+00,-4.7497496450305654E-02,-2.9623937927032764E+00
 1.0592250000000000E+07, 1.9296393643610358E+01, 3.7715337435092096E-02, 1.0645407169269663E-02, 1.2982373176546977E+00, 6.9984674869879138E-01,-3.1020373098783711E+00
 1.0957500000000000E+07, 1.9157672562033838E+01, 4.4906493796122625E-02, 1.0572351308308674E-02, 1.2813760301725214E+00, 1.3460169544440670E+00,-3.1401323707226121E+00
 1.1322750000000000E+07, 1.9253779462074949E+01, 4.4261468939649287E-02, 1.0551419792253578E-02, 1.2623236821795600E+00,-4.3407063035872344E+00, 3.1246072565774945E+00
 1.1688000000000000E+07, 1.9250467505933287E+01, 4.2843095018979892E-02, 1.0461576558457418E-02, 1.2470979115790499E+00,-3.6751953143693004E+00, 3.0261580558272634E+00
 1.2053250000000000E+07, 1.9176011698531831E+01, 4.3165006231595894E-02, 1.0385795772091144E-02, 1.2269429771945841E+00,-4.5690630978400526E-01, 4.4330340330687185E-01
 1.2418500000000000E+07, 1.9321726671663711E+01, 4.6153331389697738E-02, 1.0405724725377761E-02, 1.2103524084942403E+00, 6.2623409705551547E-01, 3.5646057967055431E-02
 1.2783750000000000E+07, 1.9159427924047094E+01, 4.2778178860692732E-02, 1.0306558713330822E-02, 1.1893798033967604E+00, 1.3508017967336814E+00, 9.3480490683629227E-04
 1.3149000000000000E+07, 1.9286099972188822E+01, 4.8676513899697342E-02, 1.0282328606193549E-02, 1.1637036934085769E+00, 2.0571751259152760E+00,-2.0796323636649197E-02
 1.3514250000000000E+07, 1.9230318147223336E+01, 4.4380426309963181E-02, 1.0156395678004066E-02, 1.1437245414476134E+00, 2.8924804022476338E+00,-2.0185183203312088E-01
 1.3879500000000000E+07, 1.9198048690935448E+01, 3.9624620121710134E-02, 1.0163193262279303E-02, 1.1179372103583924E+00, 5.9801175618312996E-02,-2.9998318967160942E+00
 1.4244750000000000E+07, 1.9298829831942026E+01, 3.9074259732937176E-02, 1.0158021924894362E-02, 1.0981170999526944E+00, 7.8975179262819095E-01,-3.1045426360711819E+00
 1.4610000000000000E+07, 1.9142146377178005E+01, 4.6245464929738057E-02, 1.0102180155025986E-02, 1.0677102823074447E+00, 1.4165469630647103E+00,-3.1413287861694537E+00
 1.4975250000000000E+07, 1.9270756141820666E+01, 3.9309048858329400E-02, 1.0075346202717010E-02, 1.0370516283731699E+00,-4.2642210388902102E+00, 3.1139780128159931E+00
 1.5340500000000000E+07, 1.9198134805917089E+01, 3.7834404707580968E-02, 1.0044284598354878E-02, 1.0117494008833847E+00,-3.5491190938774850E+00, 3.0176211746749173E+00
 1.5705750000000000E+07, 1.9200838724410758E+01, 4.1311263711528837E-02, 1.0124566111513912E-02, 9.8090547614105239E-01,-1.5229890562221604E-01, 2.8072030523782238E-01
 1.6071000000000000E+07, 1.9268341721674481E+01, 4.4046460933394760E-02, 1.0167040312150107E-02, 9.5782922937948012E-01, 7.6442159806986210E-01, 2.9032821452097225E-02
 1.6436250000000000E+07, 1.9115151458980847E+01, 3.8848113136970799E-02, 1.0204916711177337E-02, 9.2019652762165161E-01, 1.4866083049080181E+00,-5.0533200358984543E-05
 1.6801500000000000E+07, 1.9281287803017022E+01, 4.2427356966416238E-02, 1.0280068344801998E-02, 8.9351061217075234E-01, 2.2017786658688503E+00,-2.9742411132713666E-02
 1.7166750000000000E+07, 1.9154747307822976E+01, 3.8861104116317872E-02, 1.0382504713748202E-02, 8.6482951314818191E-01, 3.1436722997665671E+00,-2.9240722111455547E-01
 1.7532000000000000E+07, 1.9199596065242027E+01, 3.7500635778935629E-02, 1.0553828895633610E-02, 8.3882705139252134E-01, 2.3112643312500714E-01,-3.0080897506086446E+00
 1.7897250000000000E+07, 1.9229208726192450E+01, 3.9897523035860021E-02, 1.0709891980759166E-02, 8.1026172753923154E-01, 9.4459851525121596E-01,-3.1186994901444711E+00
 1.8262500000000000E+07, 1.9134017353639589E+01, 4.2189702339953589E-02, 1.0864004602822315E-02, 7.7895093877702071E-01,-4.7350139600466949E+00, 3.1410834790680666E+00
 1.8627750000000000E+07, 1.9285576760602535E+01, 3.3584959743716357E-02, 1.1092664814941946E-02, 7.5833908575145481E-01,-4.1005094248542848E+00, 3.1129144518062426E+00
 1.8993000000000000E+07, 1.9147554345003819E+01, 3.6914554879841639E-02, 1.1297906817618745E-02, 7.3702331129110665E-01,-3.4000687349956449E+00, 3.0415219927958934E+00
 1.9358250000000000E+07, 1.9235799379716138E+01, 4.1775946608562084E-02, 1.1578453466074529E-02, 7.1771770531209256E-01, 8.9828667001477430E-02, 1.7939548169495204E-01
