 t,a,e,inc,omega,varpi,f
 1.0000000000000000E+02,-4.1268152385813589E-07, 1.1666242525217886E+08, 2.9956004753424653E-01, 1.9248853949808040E+00, 3.3693189981293892E+00, 9.1956379182037921E-03
 2.0000000000000000E+02,-1.8118235482419906E-07, 1.7606678421332479E+08, 2.9956129586453850E-01, 1.9248930132510345E+00, 8.6384899888469713E-01,-1.3920531080221288E-01
 3.0000000000000000E+02,-3.3705289773547992E-07, 1.2908472718309131E+08, 2.9956480676227654E-01, 1.9249022381761485E+00, 4.6506135240944211E+00, 2.0186053231614370E-01
 4.0000000000000000E+02,-3.0240691137205841E-07, 1.3627635662217331E+08, 2.9960269596489059E-01, 1.9247744770383208E+00, 2.2097057979420205E+00,-2.0956587067933571E-01
 5.0000000000000000E+02,-2.0539349802500084E-07, 1.6540519904746726E+08, 2.9955385743587126E-01, 1.9246806932041034E+00,-3.2993255332975924E-01, 2.2244602875106761E-01
 6.0000000000000000E+02,-4.0784076335074331E-07, 1.1739004832974944E+08, 2.9953624308213889E-01, 1.9246492267627953E+00, 3.5178094049220716E+00,-4.7726082917340894E-02
 7.0000000000000000E+02,-1.6542727290074127E-07, 1.8431936703462753E+08, 2.9953701150844420E-01, 1.9246576329710592E+00, 1.0251654116067899E+00,-6.4451103008191749E-02
 8.0000000000000000E+02,-3.6850902411791478E-07, 1.2349293067872454E+08, 2.9953946118654418E-01, 1.9246668075892854E+00, 4.8062894147594912E+00, 1.6234242325081452E-01
 9.0000000000000000E+02,-2.6763541381615999E-07, 1.4490712687814844E+08, 2.9956511802499008E-01, 1.9245671736642709E+00, 2.3749076875919553E+00,-2.2226102766729386E-01
 1.0000000000000000E+03,-2.3512524471352340E-07, 1.5469147417028141E+08, 2.9947095579490557E-01, 1.9242393706442227E+00,-1.5943581084709191E-01, 2.4516922171765490E-01
 1.1000000000000000E+03,-3.9434567331500574E-07, 1.1945733743128297E+08, 2.9945299601190606E-01, 1.9241878702211037E+00, 3.6902335265221016E+00,-9.7909694752048373E-02
 1.2000000000000000E+03,-1.6016433865826391E-07, 1.8744214293753210E+08, 2.9945335218964986E-01, 1.9241966271064412E+00, 1.2159246034881199E+00, 1.6707233527091275E-02
 1.3000000000000000E+03,-3.9226210297925203E-07, 1.1977195645841651E+08, 2.9945528997721926E-01, 1.9242053205692489E+00, 4.9941537132908032E+00, 1.1996823055427228E-01
 1.4000000000000000E+03,-2.3815609344111242E-07, 1.5371402019135720E+08, 2.9944253304139673E-01, 1.9240928710667460E+00, 2.5757808581136863E+00,-2.1944131836745212E-01
 1.5000000000000000E+03,-2.6464420982393313E-07, 1.4597798837557194E+08, 2.9932595574643722E-01, 1.9232331163437721E+00, 5.3400607832617020E-02, 2.4964923894237173E-01
 1.6000000000000000E+03,-3.7795250402527271E-07, 1.2216052146752349E+08, 2.9931334018908778E-01, 1.9231836463405696E+00, 3.9089554509359763E+00,-1.3691209971301924E-01
 1.7000000000000000E+03,-1.6281699589679264E-07, 1.8612236511694115E+08, 2.9931356836204370E-01, 1.9231923512020539E+00, 1.4619101092710478E+00, 8.3718532465614920E-02
 1.8000000000000000E+03,-4.0783820512013000E-07, 1.1759734490871750E+08, 2.9931545999139880E-01, 1.9232003208610846E+00, 5.2417268279356355E+00, 8.3375062958035137E-02
 1.9000000000000000E+03,-2.1768163274932819E-07, 1.6097205367234054E+08, 2.9927136151098210E-01, 1.9230410943471263E+00, 2.8417948272672415E+00,-2.0745276973657054E-01
 2.0000000000000000E+03,-2.8829384591633048E-07, 1.4002765907872659E+08, 2.9917969900298141E-01, 1.9221761507710415E+00, 3.4071333152283012E-01, 2.4508813129610774E-01
 2.1000000000000000E+03,-3.6352778993307371E-07, 1.2470548922759470E+08, 2.9917328022388495E-01, 1.9221509093194113E+00, 4.1960213347647546E+00,-1.6287606102975699E-01
 2.2000000000000000E+03,-1.6852000439777820E-07, 1.8315826966621509E+08, 2.9917384780568457E-01, 1.9221593003307047E+00, 1.7808451612327167E+00, 1.2815540659142699E-01
 2.3000000000000000E+03,-4.1678860860894696E-07, 1.1646229946800449E+08, 2.9917610132450390E-01, 1.9221657029906616E+00,-7.2117001740250064E-01, 5.6710437128656491E-02
 2.4000000000000000E+03,-2.0512270857627164E-07, 1.6602518172825205E+08, 2.9915109309789795E-01, 1.9220157144485446E+00, 3.1763397917399669E+00,-1.9395537250399034E-01
 2.5000000000000000E+03,-3.0456448904914925E-07, 1.3632676997328988E+08, 2.9908501941874144E-01, 1.9216864896796870E+00, 7.0270678300340772E-01, 2.3821116952229732E-01
 2.6000000000000000E+03,-3.5203567971700075E-07, 1.2680668381081070E+08, 2.9908193118677234E-01, 1.9216819519475385E+00, 4.5434686458588978E+00,-1.7892274761477403E-01
 2.7000000000000000E+03,-1.7430445492184422E-07, 1.8020914310188332E+08, 2.9908328276926538E-01, 1.9216897835753584E+00, 2.1549998092014695E+00, 1.5604403306237344E-01
 2.8000000000000000E+03,-4.2120620103453420E-07, 1.1592324014665703E+08, 2.9908629438976364E-01, 1.9216917650460494E+00,-3.4612649238647242E-01, 3.7227932606427150E-02
 2.9000000000000000E+03,-1.9661708249786662E-07, 1.6968663420610783E+08, 2.9908557492491272E-01, 1.9215592846167218E+00, 3.5499915074802542E+00,-1.8064836469625659E-01
