 t,a,e,inc,omega,varpi,f
 0.0000000000000000E+00, 3.8708487337966868E-01, 2.0564007762226821E-01, 1.2224709357238607E-01, 8.4325457097055478E-01,-2.2493257207818340E+00,-1.7484773973034982E+00
 3.6525000000000000E+05, 3.8708527865077047E-01, 2.0582405865783118E-01, 1.2120966624390370E-01, 8.2118048601365978E-01,-2.0899345958734412E+00,-1.6968406661222748E+00
 7.3050000000000000E+05, 3.8708365233211195E-01, 2.0603364499231733E-01, 1.2018049531132727E-01, 7.9882275806546543E-01,-1.9266513898917141E+00,-1.6484609636775875E+00
 1.0957500000000000E+06, 3.8708329712352813E-01, 2.0620994138436158E-01, 1.1916328212852013E-01, 7.7609680971363493E-01,-1.7587210276031460E+00,-1.6014045991936787E+00
 1.4610000000000000E+06, 3.8708256233286115E-01, 2.0638296848356996E-01, 1.1815991863031461E-01, 7.5303902049476090E-01,-1.5860312140409292E+00,-1.5538255047961336E+00
 1.8262500000000000E+06, 3.8708118001496600E-01, 2.0656791834626526E-01, 1.1717594384028922E-01, 7.2962402285472305E-01,-1.4083442270780009E+00,-1.5034132858630420E+00
 2.1915000000000000E+06, 3.8708129841909394E-01, 2.0670767242980531E-01, 1.1621477842022564E-01, 7.0580274742431359E-01,-1.2249619348742935E+00,-1.4468886748987320E+00
 2.5567500000000000E+06, 3.8707931446473232E-01, 2.0686607614059926E-01, 1.1527536209050934E-01, 6.8159193620335667E-01,-1.0361927842580183E+00,-1.3804028912374600E+00
 2.9220000000000000E+06, 3.8707983110495287E-01, 2.0699783160092450E-01, 1.1436796723320669E-01, 6.5698775643866170E-01,-8.4131589772744320E-01,-1.2972121000126955E+00
 3.2872500000000000E+06, 3.8707783099625914E-01, 2.0711877880715066E-01, 1.1348790556710915E-01, 6.3193285086996387E-01,-6.4065361141442989E-01,-1.1889006187395723E+00
 3.6525000000000000E+06, 3.8707803049337414E-01, 2.0723285944787834E-01, 1.1264176897861659E-01, 6.0646259551519743E-01,-4.3404279674980895E-01,-1.0430281218466617E+00
 4.0177500000000000E+06, 3.8707690787640114E-01, 2.0732663026125195E-01, 1.1183348143322955E-01, 5.8055263612810493E-01,-2.2167922414722985E-01,-8.4779402834240569E-01
