 t,a,e,inc,omega,varpi,f
 0.0000000000000000E+00, 3.0098892834413451E+01, 1.0795588135710266E-02, 3.0819192848142590E-02, 8.4232067765950447E-01,-1.1954753827186366E+00,-3.5032039045456639E-02
 3.6525000000000000E+05, 2.9953759504085095E+01, 7.5377169774809311E-03, 3.0890971242624837E-02, 8.4218487701580680E-01,-1.5992912713931366E+00,-2.7508085863522443E-02
 7.3050000000000000E+05, 3.0073429491128419E+01, 8.6183577674091502E-03, 3.0904082898127381E-02, 8.4524741133654202E-01,-2.0206384652794487E+00,-1.2561971803048033E-03
 1.0957500000000000E+06, 3.0256485708780236E+01, 1.4929670552398413E-02, 3.0947246833488290E-02, 8.4627945359090562E-01,-2.4586383638226388E+00,-8.5357317830449326E-05
 1.4610000000000000E+06, 3.0150555132527902E+01, 1.0557314281668976E-02, 3.0973453563923722E-02, 8.4600165849666031E-01,-2.8923845734836711E+00, 1.0444353375683981E-04
 1.8262500000000000E+06, 3.0023462366301896E+01, 8.1040510138856384E-03, 3.1040051069206424E-02, 8.4764653318510774E-01,-3.3116929858953967E+00, 1.1613306864675151E-02
 2.1915000000000000E+06, 3.0122938409038827E+01, 1.2608257465024258E-02, 3.1106648835016820E-02, 8.4988195201319605E-01,-3.7231737599692440E+00, 2.6762436835340794E-02
 2.5567500000000000E+06, 3.0268652699267477E+01, 1.2104949562323350E-02, 3.1117876555970567E-02, 8.5039489862180939E-01, 2.1358253991670995E+00, 1.8696323749118181E-02
 2.9220000000000000E+06, 3.0142440995555098E+01, 6.9405238105817151E-03, 3.1158535105924041E-02, 8.5121086827125825E-01, 1.7073219486803348E+00, 3.1077202298626809E+00
 3.2872500000000000E+06, 2.9947537415722415E+01, 1.2920250662289629E-02, 3.1231091707168489E-02, 8.5147122264093544E-01, 1.2963098445745187E+00, 3.1391629470103579E+00
 3.6525000000000000E+06, 3.0045727878751343E+01, 1.2243928408135735E-02, 3.1242424384540259E-02, 8.5395720111568552E-01, 8.9412393221287978E-01, 3.1386057942397585E+00
 4.0177500000000000E+06, 3.0230994838234359E+01, 4.5228408586881069E-03, 3.1297651730376991E-02, 8.5581657942942901E-01, 4.8234644759009093E-01, 3.1415852164440032E+00
 4.3830000000000000E+06, 3.0200218114449655E+01, 7.8287610189756024E-03, 3.1317251289935906E-02, 8.5623014059699643E-01, 6.0627099304109811E-02,-3.1300085253433054E+00
 4.7482500000000000E+06, 3.0017557544290238E+01, 1.1557203893235198E-02, 3.1373847719360845E-02, 8.5802136658304162E-01,-3.5836701068425064E-01,-3.1304336982606751E+00
 5.1135000000000000E+06, 3.0100979615562359E+01, 8.3654229575237608E-03, 3.1433301573986765E-02, 8.5948227038043568E-01,-7.6038574774587331E-01,-3.1046860667807326E+00
 5.4787500000000000E+06, 3.0254149223521448E+01, 1.0732165545540248E-02, 3.1468499433843555E-02, 8.6169379927881540E-01,-1.1724778212926097E+00,-1.3698880754080617E-02
 5.8440000000000000E+06, 3.0180846023158626E+01, 1.2946059880088534E-02, 3.1504059958430433E-02, 8.6272171086002425E-01,-1.6041299972922110E+00,-1.3941234401315944E-02
 6.2092500000000000E+06, 2.9958807211760853E+01, 7.5494456874075026E-03, 3.1552699004951862E-02, 8.6343410134829679E-01,-2.0390421503837701E+00,-1.0667031688477189E-02
