 t,a,e,inc,omega,varpi,f
 0.0000000000000000E+00, 9.5286622905281941E+00, 5.5069711051240422E-02, 4.3421800887480225E-02, 1.1595753349340885E+00, 2.5811623633587599E-01, 2.9817638765649082E+00
 3.6525000000000000E+05, 9.5810264915962264E+00, 5.1531482031160328E-02, 4.3752392670122070E-02, 1.2043582291287025E+00, 5.1780335653552467E-01, 1.6534982175887145E+00
 7.3050000000000000E+05, 9.5465077065663646E+00, 4.7188012503246272E-02, 4.4006672700152009E-02, 1.2499978554909021E+00, 7.9318050610565516E-01, 2.0706159816031955E-01
 1.0957500000000000E+06, 9.5466968496572928E+00, 4.5053174077069255E-02, 4.4026767420953579E-02, 1.2963531261846029E+00, 1.0905787692612814E+00, 4.7935349727795701E-02
 1.4610000000000000E+06, 9.5877177591704594E+00, 4.3869024499369705E-02, 4.3917129116370385E-02, 1.3423158707747933E+00, 1.3868284578221717E+00, 2.2902897523217032E-03
 1.8262500000000000E+06, 9.5251355880128727E+00, 3.5627611316288561E-02, 4.3665097873483778E-02, 1.3882586583708054E+00, 1.6907693617254687E+00,-8.5567182666144680E-03
 2.1915000000000000E+06, 9.5688986353332037E+00, 3.4178520709840877E-02, 4.3208734319333503E-02, 1.4337621596868888E+00,-4.3085669210116837E+00,-3.8492016117197880E-02
 2.5567500000000000E+06, 9.5771060802200552E+00, 3.1541781634507805E-02, 4.2599376939367536E-02, 1.4794170559369133E+00,-4.0340556421715341E+00,-1.8061914202602222E-01
 2.9220000000000000E+06, 9.5203189361401233E+00, 2.6137355485620625E-02, 4.1898204433039467E-02, 1.5246323973826299E+00,-3.7778411417211011E+00,-2.9648371943438772E+00
 3.2872500000000000E+06, 9.5880296684846158E+00, 1.9309862256467372E-02, 4.0986116373214573E-02, 1.5690667262195124E+00,-3.5325054767516662E+00,-3.1042238971335889E+00
 3.6525000000000000E+06, 9.5505951128600906E+00, 1.8304634351324855E-02, 3.9985434991610835E-02, 1.5302663350179282E+00,-2.9996504065400846E+00,-3.1369873994660944E+00
 4.0177500000000000E+06, 9.5380949737122371E+00, 1.7195848748323438E-02, 3.8856688075842395E-02, 1.4874611467859729E+00,-3.2414740615628741E+00, 3.1354415368195263E+00
 4.3830000000000000E+06, 9.5876997080927637E+00, 1.3284730031538931E-02, 3.7565630234848255E-02, 1.4498925260170255E+00,-3.5112463012258104E+00, 3.0520144587388569E+00
 4.7482500000000000E+06, 9.5351035885833664E+00, 1.3783020128494130E-02, 3.6188041095071101E-02, 1.4131049601746688E+00,-3.7850209407943098E+00, 1.0755644080667269E-01
 5.1135000000000000E+06, 9.5625001703545998E+00, 1.6432127735105051E-02, 3.4575804595845347E-02, 1.3789423793964790E+00,-4.0863838107603634E+00, 1.0693467124472977E-02
 5.4787500000000000E+06, 9.5859460107714618E+00, 2.1326677516275996E-02, 3.2894082889545415E-02, 1.3492178103531962E+00,-4.4002557749944264E+00,-1.7911273581152237E-03
 5.8440000000000000E+06, 9.5252264172156256E+00, 1.8737504764667474E-02, 3.1102741151577934E-02, 1.3208672683118081E+00, 1.5622845216057062E+00,-3.6661055554243253E-02
 6.2092500000000000E+06, 9.5808429385041265E+00, 2.3204640717933968E-02, 2.9180740770081703E-02, 1.2989980119810043E+00, 1.2319442508553604E+00,-1.2240076223396372E-01
 6.5745000000000000E+06, 9.5749482169496343E+00, 2.7387485748632912E-02, 2.7180284785678781E-02, 1.2794911468683607E+00, 9.1475674958646547E-01,-2.9529800223515190E+00
 6.9397500000000000E+06, 9.5276271353121054E+00, 3.2354318597019628E-02, 2.5158949427041409E-02, 1.2666453699105986E+00, 5.9112141384989481E-01,-3.1092870853721544E+00
 7.3050000000000000E+06, 9.5853514921511582E+00, 3.1594191751569987E-02, 2.3102178932376670E-02, 1.2631584176433093E+00, 2.7195363013884322E-01,-3.1387006093253902E+00
 7.6702500000000000E+06, 9.5531825997727520E+00, 3.8353635275500876E-02, 2.1106074047979498E-02, 1.2692813426395058E+00,-6.5978455794168056E-02, 3.1381456756425212E+00
 8.0355000000000000E+06, 9.5364625269659840E+00, 4.3765188277152416E-02, 1.9150723518341614E-02, 1.2885402452983028E+00,-4.2144574368634125E-01, 3.0933891922919083E+00
 8.4007500000000000E+06, 9.5914453801055437E+00, 4.5377229829820294E-02, 1.7355411135927055E-02, 1.3314579905803885E+00,-8.3555218536792930E-01, 2.9334613000482244E+00
 8.7660000000000000E+06, 9.5290392224574596E+00, 5.0155562425771127E-02, 1.5712404422088325E-02, 1.3944258840577759E+00,-1.3048895612606135E+00, 1.5647791806798328E+00
 9.1312500000000000E+06, 9.5633939562377606E+00, 5.5815960067692565E-02, 1.4298201399901988E-02, 1.4898118118602477E+00,-1.8584665590456455E+00, 1.8753260459940632E-01
