 0.0000000000000000E+00, 2.6471589364036468E+01,-1.4096521334906500E+01,-3.1964441840438462E-01, 5.2929029511410297E-01, 1.0196429604143082E+00,-3.3102931310216854E-02
 1.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 2.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 3.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 4.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 5.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 6.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 7.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 8.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 9.0000000000000000E+04,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
 1.0000000000000000E+05,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN,                    NaN
