 t,a,e,inc,omega,varpi,f
 4.2369000000000000E+07, 5.0230600798180647E-01, 9.9970575047295496E-01, 4.2039690473368412E-02, 1.3545350972971584E+00, 1.2179135665895877E+00, 3.1415876173875610E+00
 4.2734250000000000E+07, 5.0882409041718302E-01, 9.9970953375043659E-01, 4.0189478811039521E-02, 1.3186148894831924E+00,-3.4417530574960917E+00,-3.1415877459468149E+00
 4.3099500000000000E+07, 4.9678845927171100E-01, 9.9970250329885091E-01, 3.8264955279542712E-02, 1.2843393248962502E+00,-1.8024246045606940E+00,-3.1415875054358859E+00
 4.3464750000000000E+07, 4.8982855385922075E-01, 9.9969827933299715E-01, 3.6273059163413654E-02, 1.2519614451965031E+00,-8.8125017097040459E-02, 3.1415873581743368E+00
 4.3830000000000000E+07, 5.0307778370817113E-01, 9.9970623661813540E-01, 3.4217192538843699E-02, 1.2218685398030913E+00, 1.5973725455965258E+00, 3.1415876337188298E+00
 4.4195250000000000E+07, 5.0997274312481344E-01, 9.9971021911131142E-01, 3.2110346881135537E-02, 1.1946554959363191E+00,-3.0864829004145937E+00,-3.1415877688174181E+00
 4.4560500000000000E+07, 4.9623167765730480E-01, 9.9970219923284864E-01, 2.9962397140069257E-02, 1.1707797819277141E+00,-1.4701350244529656E+00,-3.1415874946489457E+00
 4.4925750000000000E+07, 4.8861868218785443E-01, 9.9969756174080360E-01, 2.7776922499801227E-02, 1.1511087404270597E+00, 2.2587698476935181E-01, 3.1415873326954245E+00
 4.5291000000000000E+07, 5.0363299402480000E-01, 9.9970658720627636E-01, 2.5567548589440860E-02, 1.1368654192207561E+00, 1.8821792712451533E+00, 3.1415876454657305E+00
 4.5656250000000000E+07, 5.1125100608845886E-01, 9.9971097647016549E-01, 2.3349851489728117E-02, 1.1294156220090015E+00,-2.8476720622388410E+00,-3.1415877940422616E+00
 4.6021500000000000E+07, 4.9591697519156652E-01, 9.9970205123854783E-01, 2.1139731298533988E-02, 1.1311428325727608E+00,-1.2861636943971764E+00,-3.1415874891647619E+00
 4.6386750000000000E+07, 4.8730497539992146E-01, 9.9969679282966151E-01, 1.8963808503166188E-02, 1.1447946378522726E+00, 3.4982987690040512E-01, 3.1415873051952299E+00
 4.6752000000000000E+07, 5.0393246520561419E-01, 9.9970681014287055E-01, 1.6845535754439232E-02, 1.1745317504008022E+00, 1.9222298740636534E+00, 3.1415876526593389E+00
 4.7117250000000000E+07, 5.1259266006767545E-01, 9.9971177648038756E-01, 1.4835879913174333E-02, 1.2264093777274676E+00,-2.9320885380870028E+00,-3.1415878205433505E+00
