 t,a,e,inc,omega,varpi,f
 0.0000000000000000E+00, 3.9353074432080213E+01, 2.4672343359251472E-01, 2.9957333364118999E-01, 1.9248963251770923E+00, 3.9052047223241551E+00, 9.5096104499700818E-01
 3.6525000000000000E+05, 3.9544474717946855E+01, 2.5167935582091616E-01, 2.9947221149277203E-01, 1.9233119018098728E+00,-2.3789193442955421E+00, 1.2083290492495002E+00
 7.3050000000000000E+05, 3.9813817085540393E+01, 2.5242599755421469E-01, 2.9870859721351678E-01, 1.9215758459587751E+00,-2.3543013750847299E+00, 1.3805786953199068E+00
 1.0957500000000000E+06, 3.9533965331932855E+01, 2.4755412669285426E-01, 2.9961405421277915E-01, 1.9214316919785288E+00,-2.3729949547359217E+00, 1.5665031822110604E+00
 1.4610000000000000E+06, 3.9354379001761600E+01, 2.5020555813442624E-01, 2.9991065520449234E-01, 1.9206976490538419E+00,-2.3961707265490264E+00, 1.7382530305117514E+00
 1.8262500000000000E+06, 3.9631176971387447E+01, 2.5081823487620719E-01, 2.9902229446078615E-01, 1.9171592217288687E+00,-2.3699347363389478E+00, 1.8618180226813368E+00
 2.1915000000000000E+06, 3.9667808434344472E+01, 2.4583750342265523E-01, 2.9938656887638426E-01, 1.9169090392342298E+00,-2.3642158299601386E+00, 2.0150930240595524E+00
 2.5567500000000000E+06, 3.9347955216167612E+01, 2.4834863954917982E-01, 2.9990149387088544E-01, 1.9173396761169601E+00,-2.3941580763628396E+00, 2.2086864554890586E+00
 2.9220000000000000E+06, 3.9416255371655787E+01, 2.4949988827634789E-01, 2.9936098906643616E-01, 1.9119216202714673E+00,-2.3813806346505784E+00, 2.3769170441775618E+00
 3.2872500000000000E+06, 3.9627814968536669E+01, 2.4216012788698202E-01, 2.9938882826062285E-01, 1.9099927095082725E+00,-2.3632390531499174E+00, 2.5598213585794296E+00
 3.6525000000000000E+06, 3.9412881801556026E+01, 2.4294910386321467E-01, 2.9942858595741684E-01, 1.9128570127396447E+00,-2.3893770072025804E+00, 2.8067050688766404E+00
 4.0177500000000000E+06, 3.9201033227396536E+01, 2.4932762797824534E-01, 2.9969146296296523E-01, 1.9069611501445942E+00,-2.3870435151803644E+00, 3.0375010466037868E+00
 4.3830000000000000E+06, 3.9301454853559136E+01, 2.4432401189774880E-01, 3.0010949477569088E-01, 1.9038596293081811E+00, 3.9054828695623227E+00,-3.0105980264448680E+00
 4.7482500000000000E+06, 3.9444484010531518E+01, 2.4064353521422047E-01, 2.9922522037677707E-01, 1.9065636345385362E+00, 3.8827990437517661E+00,-2.7270463875646342E+00
 5.1135000000000000E+06, 3.9239262641620670E+01, 2.4812304702802329E-01, 2.9975217970481227E-01, 1.9038035884103823E+00, 3.8887023855233136E+00,-2.4493347613235419E+00
 5.4787500000000000E+06, 3.9097725806971624E+01, 2.4745810472080265E-01, 3.0067203026650091E-01, 1.9018524616010595E+00, 3.9079092238818749E+00,-2.1590637585198849E+00
 5.8440000000000000E+06, 3.9373906013259209E+01, 2.4397795749041470E-01, 2.9945779328126126E-01, 1.9008038729398218E+00, 3.8790663084659558E+00,-1.7867233198115811E+00
 6.2092500000000000E+06, 3.9662304022245948E+01, 2.4978646690799025E-01, 2.9945828708109851E-01, 1.8992877434435977E+00, 3.8618649462298205E+00,-1.3850267163871346E+00
 6.5745000000000000E+06, 3.9497856960476540E+01, 2.5005105406395534E-01, 3.0001693838975979E-01, 1.8995880915172680E+00, 3.8860078081432965E+00,-9.9974114902614386E-01
 6.9397500000000000E+06, 3.9290827688133980E+01, 2.4494132597328155E-01, 2.9980253224123243E-01, 1.8962859516588990E+00, 3.8866270025822987E+00,-5.9365740609805528E-01
 7.3050000000000000E+06, 3.9692532177343431E+01, 2.5179653582596673E-01, 2.9985560193610145E-01, 1.8934663785542334E+00, 3.8680159712376314E+00,-2.0388803276030198E-01
 7.6702500000000000E+06, 3.9856413277800435E+01, 2.5493651935703060E-01, 2.9960485185936342E-01, 1.8948561377112643E+00, 3.8831182172911975E+00, 1.0431435773607474E-01
 8.0355000000000000E+06, 3.9465882463266887E+01, 2.4733212749760963E-01, 2.9974929374902498E-01, 1.8929095315402502E+00, 3.8825426880411227E+00, 3.9141047879509622E-01
 8.4007500000000000E+06, 3.9386653401003400E+01, 2.4723810601786581E-01, 3.0043867588959644E-01, 1.8897581005609116E+00, 3.8632214397307725E+00, 6.5298571024024576E-01
 8.7660000000000000E+06, 3.9779555301903521E+01, 2.5317652159014081E-01, 2.9978312665307144E-01, 1.8895428355532604E+00, 3.8818006019199975E+00, 8.5020611302584015E-01
 9.1312500000000000E+06, 3.9697521155729156E+01, 2.4941293582459448E-01, 2.9963405074877297E-01, 1.8884000814100712E+00, 3.8901120381012806E+00, 1.0558694405903117E+00
 9.4965000000000000E+06, 3.9323325079734111E+01, 2.4569589070817080E-01, 3.0064128672680418E-01, 1.8871596566035724E+00,-2.4227625098304304E+00, 1.3002560884066185E+00
 9.8617500000000000E+06, 3.9526250357364070E+01, 2.4978812260276512E-01, 2.9996087523519854E-01, 1.8851479725627960E+00,-2.4118926729491688E+00, 1.5217546406513698E+00
 1.0227000000000000E+07, 3.9732147661481143E+01, 2.4732594384660916E-01, 2.9942512044431746E-01, 1.8821854454170364E+00,-2.3852883332743620E+00, 1.7478725267401014E+00
 1.0592250000000000E+07, 3.9463832877021886E+01, 2.4348195950203963E-01, 3.0029931848236568E-01, 1.8827175480760943E+00,-2.4064299723071496E+00, 2.0275764847522004E+00
 1.0957500000000000E+07, 3.9249521927923610E+01, 2.4821893077352922E-01, 3.0013291583292212E-01, 1.8802971276111227E+00,-2.4247501764715280E+00, 2.3104094472863848E+00
 1.1322750000000000E+07, 3.9413464348019495E+01, 2.4535687899477307E-01, 2.9991828048587987E-01, 1.8749728483381258E+00,-2.4030941828160310E+00, 2.5520497809586686E+00
 1.1688000000000000E+07, 3.9485165708247543E+01, 2.3979781189557645E-01, 3.0006101533949148E-01, 1.8768768503089368E+00,-2.4110553022702015E+00, 2.8224589875962072E+00
 1.2053250000000000E+07, 3.9210483432361130E+01, 2.4695216381500110E-01, 3.0002696359337772E-01, 1.8765725574460617E+00,-2.4292642605207644E+00, 3.0982183437065158E+00
 1.2418500000000000E+07, 3.9134051814186861E+01, 2.4913938653122175E-01, 3.0074683280190634E-01, 1.8712626758673501E+00, 3.8686500746594401E+00,-2.9429089477695078E+00
 1.2783750000000000E+07, 3.9372711960021903E+01, 2.4182937979856825E-01, 3.0035468113559849E-01, 1.8718791871355394E+00, 3.8580469069709151E+00,-2.6688259786276225E+00
 1.3149000000000000E+07, 3.9511051861553575E+01, 2.4398363424143485E-01, 2.9953942507287207E-01, 1.8718567188534834E+00, 3.8365149118982886E+00,-2.3759907544836372E+00
 1.3514250000000000E+07, 3.9318962741710251E+01, 2.4867110440231799E-01, 3.0069626879573608E-01, 1.8693529738892070E+00, 3.8578943282573275E+00,-2.1179447862172860E+00
 1.3879500000000000E+07, 3.9336133720620978E+01, 2.4518864432938769E-01, 3.0053618103068214E-01, 1.8681720705785363E+00, 3.8585198585281533E+00,-1.8360077545312248E+00
 1.4244750000000000E+07, 3.9729681395744400E+01, 2.4721867624676863E-01, 2.9948784010754753E-01, 1.8654648936382170E+00, 3.8227183027323566E+00,-1.5164726910434996E+00
 1.4610000000000000E+07, 3.9741948539947757E+01, 2.5148568861487441E-01, 3.0025686444086591E-01, 1.8650517622853815E+00, 3.8366606608891560E+00,-1.2612134899577141E+00
 1.4975250000000000E+07, 3.9376407263840640E+01, 2.4648634032944994E-01, 3.0054753654099381E-01, 1.8646493098366490E+00, 3.8599381580936556E+00,-1.0271550131831040E+00
 1.5340500000000000E+07, 3.9502716531890236E+01, 2.4652694134302194E-01, 3.0013910608252453E-01, 1.8605134893601485E+00, 3.8397359154341064E+00,-7.6965238816964532E-01
 1.5705750000000000E+07, 3.9850059978982337E+01, 2.5349528428145468E-01, 3.0028923031981730E-01, 1.8608070361110263E+00, 3.8353869449314573E+00,-5.3659898742538470E-01
 1.6071000000000000E+07, 3.9554175186585233E+01, 2.4901257920295514E-01, 3.0029837236323398E-01, 1.8616025738589705E+00, 3.8532250507945371E+00,-3.1213467837615505E-01
 1.6436250000000000E+07, 3.9300902011100945E+01, 2.4402961915501761E-01, 3.0050530126362962E-01, 1.8572453822791684E+00, 3.8425895754447232E+00,-4.4855733366413249E-02
 1.6801500000000000E+07, 3.9707877084163258E+01, 2.5175552701972254E-01, 3.0056117953334666E-01, 1.8557838318176245E+00, 3.8382494858878680E+00, 2.4022295248559891E-01
 1.7166750000000000E+07, 3.9807301841365337E+01, 2.5250788186972312E-01, 2.9996233529117788E-01, 1.8561611269462999E+00, 3.8566574188507365E+00, 5.4621396760387486E-01
 1.7532000000000000E+07, 3.9395546968605110E+01, 2.4492323565055366E-01, 3.0052918805268480E-01, 1.8535755794681035E+00, 3.8449493246105417E+00, 9.1065778687362597E-01
 1.7897250000000000E+07, 3.9308787056499575E+01, 2.4654246705231034E-01, 3.0091699407628308E-01, 1.8519443490008660E+00,-2.4557547711307155E+00, 1.3041742833606151E+00
 1.8262500000000000E+07, 3.9564606972991690E+01, 2.4817845288537624E-01, 2.9993773110872529E-01, 1.8486660756389215E+00,-2.4290910030411057E+00, 1.6485317903466943E+00
 1.8627750000000000E+07, 3.9517667730447307E+01, 2.4257362360337206E-01, 3.0034732162200345E-01, 1.8476212213373646E+00,-2.4265650600965234E+00, 1.9926314792182738E+00
 1.8993000000000000E+07, 3.9164051775091380E+01, 2.4503652645075255E-01, 3.0089982695358619E-01, 1.8493618241733185E+00,-2.4628595330050085E+00, 2.3449584851266629E+00
 1.9358250000000000E+07, 3.9144016269118822E+01, 2.4863191729825240E-01, 3.0057467228892198E-01, 1.8437680636553009E+00,-2.4562287722757605E+00, 2.6288744534370783E+00
 1.9723500000000000E+07, 3.9376567381610535E+01, 2.4160939296205267E-01, 3.0074655461026994E-01, 1.8420933854395150E+00,-2.4434225967695387E+00, 2.8859296538849515E+00
 2.0088750000000000E+07, 3.9396395213128145E+01, 2.4102693580273762E-01, 3.0025553257969478E-01, 1.8458666372180306E+00, 3.8174352951907915E+00,-3.1195128341958895E+00
 2.0454000000000000E+07, 3.9202942192777449E+01, 2.4836786250876275E-01, 3.0070977996655779E-01, 1.8414760776350638E+00, 3.8227443521106657E+00,-2.8810899955041638E+00
 2.0819250000000000E+07, 3.9316315245105343E+01, 2.4491467500271272E-01, 3.0114977846472496E-01, 1.8384856520322572E+00, 3.8306782068448975E+00,-2.6540185627153372E+00
 2.1184500000000000E+07, 3.9632543442292416E+01, 2.4046540319758347E-01, 2.9994919187431696E-01, 1.8395136641962633E+00, 3.8018821404942722E+00,-2.3994325209604748E+00
 2.1549750000000000E+07, 3.9561435441598185E+01, 2.4732869176447034E-01, 3.0039126499686092E-01, 1.8374192473777988E+00, 3.8070973372777615E+00,-2.1949365292760468E+00
 2.1915000000000000E+07, 3.9355670190720666E+01, 2.4746552275455969E-01, 3.0133384637521449E-01, 1.8357030749285443E+00, 3.8310756197125437E+00,-2.0261735238301255E+00
 2.2280250000000000E+07, 3.9555391115594098E+01, 2.4462356499711405E-01, 3.0035279026804984E-01, 1.8340295627356082E+00, 3.8096647052576285E+00,-1.8265131568561552E+00
 2.2645500000000000E+07, 3.9771248595890420E+01, 2.4912667953787107E-01, 3.0033390413821687E-01, 1.8322693103193750E+00, 3.7957959731913711E+00,-1.6481946275027248E+00
 2.3010750000000000E+07, 3.9441801412553126E+01, 2.4866436275419529E-01, 3.0140264446557058E-01, 1.8324807221071742E+00, 3.8266981892490159E+00,-1.5123801449717797E+00
