 t,a,e,inc,omega,varpi,f
 0.0000000000000000E+00, 1.5236078679378262E+00, 9.3287346009771899E-02, 3.2265941915435893E-02, 8.6437553256799149E-01,-1.7390986557112447E+00,-4.6654414635311831E-01
 3.6525000000000000E+05, 1.5237351971927713E+00, 9.4302037465661598E-02, 3.0803685763530920E-02, 8.1163357438975503E-01, 5.3127449744099167E+00,-3.1221135454147717E+00
 7.3050000000000000E+05, 1.5236249268721060E+00, 9.5062153094246524E-02, 2.9256590550528747E-02, 7.5660113901995130E-01,-8.9509281349457348E-01, 1.3257980677577361E+00
 1.0957500000000000E+06, 1.5236098711539634E+00, 9.5908086060889547E-02, 2.7629802024947258E-02, 6.9865066065816361E-01,-1.3105798804644562E+00,-5.8616123342997650E-01
 1.4610000000000000E+06, 1.5236954619209884E+00, 9.6924967087261713E-02, 2.5912655551313297E-02, 6.3705869663540959E-01, 5.6648277263366840E+00,-3.1318614977809314E+00
 1.8262500000000000E+06, 1.5236824638753250E+00, 9.7666472488762784E-02, 2.4106537264618096E-02, 5.7153047694752745E-01,-4.2405151113493678E-01, 1.1987063655580843E+00
 2.1915000000000000E+06, 1.5235617553408662E+00, 9.8452253299701045E-02, 2.2221817232505769E-02, 5.0031968586970066E-01,-8.4069616331166019E-01,-7.1355871377373437E-01
 2.5567500000000000E+06, 1.5235582291593870E+00, 9.9351653314400643E-02, 2.0248919445678297E-02, 4.2169265566569136E-01, 6.0544843139976150E+00,-3.1380413187691185E+00
 2.9220000000000000E+06, 1.5236549384606835E+00, 1.0004253665423860E-01, 1.8207607888770634E-02, 3.3338889681171657E-01, 8.3269082022650043E-02, 1.0870633605696334E+00
 3.2872500000000000E+06, 1.5236155172445125E+00, 1.0070950140915995E-01, 1.6120971477228147E-02, 2.3010121279165568E-01,-2.9827061621525552E-01,-8.3936926581217475E-01
 3.6525000000000000E+06, 1.5235628260514602E+00, 1.0143139047653921E-01, 1.4013647911277996E-02, 1.0528972416373167E-01, 2.5886605869498869E-01,-3.1410764418308190E+00
 4.0177500000000000E+06, 1.5235586300159762E+00, 1.0207595740271899E-01, 1.1952737419508586E-02, 5.2195329297331672E-02, 6.2176749561746558E-01, 9.8723858794681318E-01
 4.3830000000000000E+06, 1.5236948126507215E+00, 1.0253485868197404E-01, 1.0049435439279974E-02, 2.6185085358921939E-01, 3.0980398880413396E-01,-9.6405922890122420E-01
 4.7482500000000000E+06, 1.5236325795160888E+00, 1.0310088764696514E-01, 8.4955327020513286E-03, 5.4793299046700661E-01,-5.7647360012687443E+00, 3.1414041126499406E+00
 5.1135000000000000E+06, 1.5235586688662477E+00, 1.0362450957753348E-01, 7.6124693808962409E-03, 9.2241116364447839E-01, 3.8803894093519042E-01, 8.9056717404676344E-01
 5.4787500000000000E+06, 1.5236597956334901E+00, 1.0395608091730484E-01, 7.7165630620056576E-03, 1.3420686617057278E+00, 1.1920483093621703E+00,-1.0893623729548427E+00
 5.8440000000000000E+06, 1.5237002727031184E+00, 1.0442518303242208E-01, 8.8168468279536168E-03, 1.4264570543518147E+00,-6.2135927615534765E+00, 3.1390683004060551E+00
 6.2092500000000000E+06, 1.5236036456406934E+00, 1.0470736984657772E-01, 1.0646653047582321E-02, 1.1425809792595720E+00,-3.6527817133016565E+00, 7.9266646305572863E-01
 6.5745000000000000E+06, 1.5235921115450464E+00, 1.0506979028100527E-01, 1.2919649943865640E-02, 9.3207576434357742E-01, 1.5500842822936391E+00,-1.2152571643208627E+00
 6.9397500000000000E+06, 1.5236697705385420E+00, 1.0525956004064450E-01, 1.5429123947426956E-02, 7.7067196066106047E-01,-1.1521372714429523E-01, 3.1338629011785453E+00
 7.3050000000000000E+06, 1.5237073943752366E+00, 1.0539232771986054E-01, 1.8082030922271140E-02, 6.4099338503923609E-01,-3.2137347442567732E+00, 6.9285539192483170E-01
 7.6702500000000000E+06, 1.5235412625874856E+00, 1.0568757662461753E-01, 2.0825064220292042E-02, 5.3083487645187377E-01, 1.7866242526214118E+00,-1.3374325288461573E+00
 8.0355000000000000E+06, 1.5235883825271681E+00, 1.0577113424244994E-01, 2.3600542212530704E-02, 4.3351888110502079E-01,-1.0760809694050057E+00, 3.1256393731374330E+00
 8.4007500000000000E+06, 1.5236619660904127E+00, 1.0580926973710467E-01, 2.6400351069279075E-02, 3.4511480977879239E-01,-2.9937699660733177E+00, 5.9622094398987158E-01
 8.7660000000000000E+06, 1.5235969132254452E+00, 1.0592631574088930E-01, 2.9215520818431984E-02, 2.6264027231455533E-01, 1.8020557138569486E+00,-1.4598229156585232E+00
 9.1312500000000000E+06, 1.5235649477877977E+00, 1.0589540395968733E-01, 3.2018542506773502E-02, 1.8423718378841827E-01,-1.3115260457317690E+00, 3.1139899218627205E+00
 9.4965000000000000E+06, 1.5235770296403268E+00, 1.0575310961425306E-01, 3.4826259615341588E-02, 1.0904201106642780E-01,-2.9162397206379667E+00, 5.0160767545983109E-01
 9.8617500000000000E+06, 1.5236477740120982E+00, 1.0566553764997411E-01, 3.7629880184153218E-02, 3.6114605706401882E-02, 1.6164814834997219E+00,-1.5843283082486754E+00
 1.0227000000000000E+07, 1.5235924749252909E+00, 1.0566250864551757E-01, 4.0411184826935287E-02, 3.4808457665393318E-02,-1.3695484551495283E+00, 3.0986136111611771E+00
 1.0592250000000000E+07, 1.5235774797709241E+00, 1.0523765993341822E-01, 4.3194565733102742E-02, 1.0420235943916061E-01,-3.0722655019697576E+00, 4.0721709368861836E-01
 1.0957500000000000E+07, 1.5236878157052351E+00, 1.0502472763466543E-01, 4.5955400851891738E-02, 1.7213632011520658E-01, 1.3818549314023574E+00,-1.7154277416659358E+00
 1.1322750000000000E+07, 1.5237322902793424E+00, 1.0476130303323079E-01, 4.8681847867228289E-02, 2.3857547006577223E-01,-1.7222304698330411E+00, 3.0784917093590387E+00
 1.1688000000000000E+07, 1.5236114122495186E+00, 1.0423525045736837E-01, 5.1384725709170381E-02, 3.0373180936151722E-01,-3.3239506128206879E+00, 3.1683661300660726E-01
 1.2053250000000000E+07, 1.5235930858515203E+00, 1.0382809760551763E-01, 5.4028707895089532E-02, 3.6774691933900144E-01, 1.1619929916020422E+00,-1.8509434126718580E+00
 1.2418500000000000E+07, 1.5237186931425897E+00, 1.0342028630149551E-01, 5.6596331995315746E-02, 4.3055474265421295E-01,-2.0572842456463651E+00, 3.0528627422628687E+00
 1.2783750000000000E+07, 1.5236091074360347E+00, 1.0275067637873289E-01, 5.9091020189885282E-02, 4.9225721237617581E-01, 2.7147461044999130E+00, 2.3261202966564506E-01
 1.3149000000000000E+07, 1.5235850516314899E+00, 1.0215866257029510E-01, 6.1465621113406373E-02, 5.5325498191927092E-01, 9.5817135167727363E-01,-1.9943657753281570E+00
 1.3514250000000000E+07, 1.5236049265020699E+00, 1.0154278548739618E-01, 6.3709926232022540E-02, 6.1346801346756086E-01,-2.3758924229503835E+00, 3.0199412236680629E+00
 1.3879500000000000E+07, 1.5236280935066744E+00, 1.0083791736051675E-01, 6.5820027271538087E-02, 6.7321024848102784E-01, 2.4716475707349765E+00, 1.5725932916710342E-01
 1.4244750000000000E+07, 1.5235447738498851E+00, 1.0002623814621071E-01, 6.7752797727025985E-02, 7.3281580744050201E-01, 7.6806519561528863E-01,-2.1477639064483913E+00
 1.4610000000000000E+07, 1.5235527600727652E+00, 9.9294982383473229E-02, 6.9521288014287030E-02, 7.9234879355949839E-01,-2.6804162222054293E+00, 2.9772949262732089E+00
 1.4975250000000000E+07, 1.5236378212885722E+00, 9.8504343561404320E-02, 7.1115804243404732E-02, 8.5213448495388300E-01, 2.2222972195076354E+00, 9.2991730750098381E-02
 1.5340500000000000E+07, 1.5236974067516020E+00, 9.7654853856911375E-02, 7.2514008596865770E-02, 9.1238033793023265E-01, 5.8305384125109527E-01,-2.3077993971349171E+00
 1.5705750000000000E+07, 1.5236018709137487E+00, 9.6778688545588784E-02, 7.3745027913267522E-02, 9.7315606288174694E-01,-2.9726423342645503E+00, 2.9210962311244177E+00
 1.6071000000000000E+07, 1.5235796990935933E+00, 9.5894400997127788E-02, 7.4807934080634755E-02, 1.0346476191903937E+00, 1.9573825353151870E+00, 4.3461115955293825E-02
 1.6436250000000000E+07, 1.5237140503689568E+00, 9.5058827515077660E-02, 7.5697382538311431E-02, 1.0969686451713854E+00, 3.9042566873915741E-01,-2.4669696637201173E+00
 1.6801500000000000E+07, 1.5236704810365991E+00, 9.4217478460749085E-02, 7.6445318758620207E-02, 1.1598288586241494E+00,-3.2541154464324977E+00, 2.8496304642337749E+00
 1.7166750000000000E+07, 1.5235490131044309E+00, 9.3232959209860841E-02, 7.7051337400645764E-02, 1.2235149001770689E+00, 1.6698921991632529E+00, 1.1853675971149441E-02
 1.7532000000000000E+07, 1.5236517143607036E+00, 9.2502876408737791E-02, 7.7512019691914014E-02, 1.2878358799612377E+00, 1.8010584009920372E-01,-2.6161342936987171E+00
 1.7897250000000000E+07, 1.5236684575526227E+00, 9.1500209632905991E-02, 7.7853074766905270E-02, 1.3524028801155177E+00,-3.5190760593106751E+00, 2.7576449469143802E+00
 1.8262500000000000E+07, 1.5235742968728487E+00, 9.0518777197600916E-02, 7.8056612508992193E-02, 1.4173978726730363E+00, 1.3590467580754866E+00, 4.0432629868386948E-05
 1.8627750000000000E+07, 1.5235396754118204E+00, 8.9813977836889394E-02, 7.8116647576623344E-02, 1.4825369905043253E+00,-5.2417270109643255E-02,-2.7489077079522461E+00
