 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00, 1.9922348963200001E+01, 2.3426195643761392E+00,-2.4935475570954871E-01,-1.8030276607387427E-01, 1.3605081001324693E+00, 7.4052238386627936E-03
 1.0000000000000000E+04, 9.6823605741573164E+00,-1.0215002206654365E+01,-1.6349290414964618E-01, 2.2354685982281088E+00, 4.8454932303754988E-01,-2.7153827826352055E-02
 2.0000000000000000E+04, 2.4380926577077160E+00, 1.1198786776900555E+01, 1.0144429859806235E-02,-2.6489327066204074E+00,-8.7688818372943789E-01, 3.1048118286788426E-02
 3.0000000000000000E+04, 1.9391695901757011E+01, 4.4533118330354897E+00,-2.3461560501833090E-01,-4.8884763070681053E-01, 1.3072558024563548E+00, 1.1203836168690747E-02
 4.0000000000000000E+04, 1.2893923727853984E+01,-9.1386468093867315E+00,-2.0108635994586757E-01, 1.8107869948531432E+00, 8.5146735502327109E-01,-2.0285094721865193E-02
 5.0000000000000000E+04,-1.8476367203945558E+00, 8.9212535901953025E+00, 5.7177354561119657E-02,-2.6572034017066719E+00,-2.0682163846838346E+00, 2.6716160822754572E-02
 6.0000000000000000E+04, 1.8370628791313727E+01, 6.4515960483810568E+00,-2.1394224520198815E-01,-7.9878854882164962E-01, 1.2178917300277903E+00, 1.4885974778508525E-02
 7.0000000000000000E+04, 1.5452973922526327E+01,-7.5951587246260326E+00,-2.2848622717952749E-01, 1.4158878431021460E+00, 1.0854224633318557E+00,-1.4297621364740656E-02
 8.0000000000000000E+04,-5.4832560205164764E+00, 4.3152032112755920E+00, 8.7111970160044308E-02,-1.6262603420070672E+00,-3.7403422343376751E+00, 7.1301870572566678E-03
 9.0000000000000000E+04, 1.6853488336454255E+01, 8.2759907879604686E+00,-1.8749045368148617E-01,-1.1141844876441922E+00, 1.0861797275520184E+00, 1.8480984478201071E-02
 1.0000000000000000E+05, 1.7407338720639267E+01,-5.7533237685079923E+00,-2.4694101316381700E-01, 1.0492723126290813E+00, 1.2345422200612270E+00,-8.9926593146304312E-03
 1.1000000000000000E+05,-5.9409138776543742E+00,-2.3598771071149911E+00, 6.8168159484079990E-02, 1.2032077120419560E+00,-4.1555013418936220E+00,-3.1071070930271033E-02
 1.2000000000000000E+05, 1.4828379451836989E+01, 9.8511609693528275E+00,-1.5538684762334276E-01,-1.4386338277556066E+00, 9.0061658832093550E-01, 2.1992617447828055E-02
 1.3000000000000000E+05, 1.8797960318544455E+01,-3.7251547053876499E+00,-2.5739848238483626E-01, 7.0520113224032044E-01, 1.3246072545883580E+00,-4.1997960736531682E-03
 1.4000000000000000E+05,-2.3660806509554160E+00,-7.6215853239956859E+00, 2.2519784092384248E-03, 2.8848323584637345E+00,-2.3413834003183607E+00,-4.6095927210978480E-02
 1.5000000000000000E+05, 1.2278497009629499E+01, 1.1077224155890306E+01,-1.1778590491532695E-01,-1.7743071433836015E+00, 6.4116153390655595E-01, 2.5374316865738704E-02
 1.6000000000000000E+05, 1.9656070706625638E+01,-1.5917549490374685E+00,-2.6056543489111605E-01, 3.7763975118291337E-01, 1.3698459058475063E+00, 2.1216016869789677E-04
 1.7000000000000000E+05, 2.3765205208490872E+00,-1.0046507839854927E+01,-6.8221668643013100E-02, 2.9362676916046446E+00,-8.2992696292437840E-01,-4.1130290847507793E-02
 1.8000000000000000E+05, 9.1864922885809577E+00, 1.1811369843688295E+01,-7.4995019060680609E-02,-2.1186441875649074E+00, 2.7244434331337941E-01, 2.8461120337568497E-02
 1.9000000000000000E+05, 2.0003595428066305E+01, 5.8271602053872684E-01,-2.5696497439954213E-01, 6.1085400110199091E-02, 1.3778769654588834E+00, 4.3428839236996069E-03
