 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00, 3.2488082974635041E-01,-1.3920413191921059E+00,-3.7142241988251279E-02, 5.1707652740635375E+00, 1.6001575101240193E+00,-9.3431456546117231E-02
 1.0000000000000000E+04, 3.2711042035645177E-01,-6.3674892177712494E-01,-2.1372410619458205E-02, 1.1927274184819696E+01, 3.7632685591657500E-01,-2.8496455539597149E-01
 2.0000000000000000E+04,-1.3313479066078144E+00, 1.6355716653787999E-01, 3.6115237537515353E-02, 1.0662695872191859E+00,-5.9279587298216185E+00,-1.5038015561096391E-01
 3.0000000000000000E+04,-8.8203101159947461E-01,-5.8399196867859882E-01, 9.4208629614064166E-03, 6.8647163735356276E-01,-8.2954968632526676E+00,-1.9065869448740391E-01
 4.0000000000000000E+04, 4.4459323876119367E-01, 1.0525933908823992E+00, 1.1137447440046310E-02,-7.4934372867210044E+00,-3.8183925269135072E-01, 1.7598549685190040E-01
 5.0000000000000000E+04,-4.4633457571384233E-01, 1.2127194207749221E+00, 3.6367205636441177E-02,-6.4396751719645948E+00, 2.0554027530293553E-01, 1.6241911160087058E-01
 6.0000000000000000E+04, 7.4797792531097507E-01,-3.5632602176845851E-01,-2.5830624681635429E-02,-8.0151250207537605E-02, 1.0356374335325370E+01, 2.1895042255467889E-01
 7.0000000000000000E+04, 1.4136305756720660E+00, 2.2493127580494272E-02,-3.4237466986341704E-02, 8.8042604993287776E-01, 5.4735537569580517E+00, 9.3062622153250230E-02
 8.0000000000000000E+04, 1.7876098813182972E-01,-4.8914589740378284E-01,-1.4637483883340133E-02, 1.3612360486500128E+01, 5.9260643951027294E+00,-2.1006250682121516E-01
 9.0000000000000000E+04,-4.9206647061990572E-01,-1.3413542134931229E+00,-1.6021839271138812E-02, 5.2170811243388018E+00,-1.4628626571113981E+00,-1.5874377827344491E-01
 1.0000000000000000E+05,-5.9163220607807855E-02,-7.2451630487211516E-01,-1.3727137525209878E-02, 1.0164849942630076E+01,-5.9695853151793870E+00,-3.7464885503544654E-01
 1.1000000000000000E+05,-1.0205502435959160E+00, 8.6353672547537708E-01, 4.3149935366995996E-02,-2.3348064978053538E+00,-5.5867785941937980E+00,-5.9725600825916311E-02
 1.2000000000000000E+05,-1.0661782692290931E+00,-1.1641954951746761E-02, 2.5933853667117160E-02,-3.8806962411790065E+00,-7.2811072292705861E+00,-5.7268394285897833E-02
 1.3000000000000000E+05, 9.3965986114481914E-01, 6.3651003246245563E-01,-9.7354817092905697E-03,-6.5527299886150576E+00, 3.7746648354873340E+00, 2.3997375882575886E-01
 1.4000000000000000E+05, 2.9136466626228019E-01, 1.2646899220267707E+00, 1.9343412542397857E-02,-5.2622189160486164E+00, 3.6473337551875860E+00, 2.0562017808649097E-01
 1.5000000000000000E+05, 4.3588709948743820E-01,-6.9190396896942918E-01,-2.5198779580545134E-02, 5.5613944924689989E+00, 8.8780523561244618E+00, 4.9460908560155906E-02
 1.6000000000000000E+05, 1.1954300490479852E+00,-7.5793255786765701E-01,-4.5231167287159708E-02, 3.6995325255053086E+00, 4.1104732701799938E+00,-4.7133235469598951E-03
 1.7000000000000000E+05,-8.9862556665567694E-02,-5.1009860386944106E-01,-8.4809886272931342E-03, 1.4776000797210587E+01,-2.0093133583205347E+00,-4.0489201040504130E-01
 1.8000000000000000E+05,-1.1463540103927139E+00,-8.5090010108935865E-01, 1.0318610853648894E-02, 3.5925684905259958E+00,-4.0658142937842205E+00,-1.7339324533542805E-01
 1.9000000000000000E+05,-4.3966541965748118E-01,-5.9269860011630338E-01,-1.6229140343639659E-03, 5.3433497380003967E+00,-1.0350560448559996E+01,-3.4805541173868004E-01
 2.0000000000000000E+05,-3.7928518817354212E-01, 1.2775892559161748E+00, 3.6080074548440220E-02,-5.0187520058948092E+00,-3.4429917456047252E+00, 5.1088787990031068E-02
 2.1000000000000000E+05,-9.0841315987092464E-01, 5.7402950215571735E-01, 3.4331008739210418E-02,-7.1406455816923575E+00,-3.9836919416004788E+00, 9.1858906947252059E-02
 2.2000000000000000E+05, 1.1266381109188748E+00, 2.2140922382991524E-02,-2.7198348237270464E-02,-3.4842555648778193E+00, 6.7818003908064499E+00, 2.2763806732802191E-01
 2.3000000000000000E+05, 9.3960391899415174E-01, 9.0283539223143183E-01,-4.1541692516698014E-03,-2.4226326191570027E+00, 5.8860343493693170E+00, 1.8280442259642263E-01
 2.4000000000000000E+05,-8.1693478972361122E-04,-8.0715099523606026E-01,-1.6891036087511260E-02, 9.5663630121674821E+00, 4.5536230758968346E+00,-1.3947634884361476E-01
 2.5000000000000000E+05, 5.8398492463572182E-01,-1.2915422092828164E+00,-4.1398383735490346E-02, 5.3233851683921189E+00, 1.4425077363555578E+00,-1.0048173086493813E-01
 2.6000000000000000E+05,-3.3155755715853003E-01,-3.9504644253537213E-01,-1.3614948938312703E-04, 1.1630896789195022E+01,-9.4192846625098881E+00,-4.8292123593787262E-01
 2.7000000000000000E+05,-1.4236472337733983E+00,-8.2304715857313596E-02, 3.3230257327507326E-02, 8.1234787047971979E-01,-5.3741679615491513E+00,-1.3254284505707936E-01
 2.8000000000000000E+05,-6.9680630370064267E-01,-2.7419840520012417E-01, 1.1363725529082488E-02,-1.0006346788233840E+00,-1.1469689357898472E+01,-2.1573970743816209E-01
 2.9000000000000000E+05, 3.8121008446939486E-01, 1.2727382472884663E+00, 1.7306071934615194E-02,-6.1142302125777075E+00,-1.6797884928081089E-01, 1.4660267484949224E-01
 3.0000000000000000E+05,-4.5394198162276200E-01, 9.8341896999909817E-01, 3.1749781214352665E-02,-8.0858273468990340E+00, 5.1543280330955121E-01, 2.0932966568748620E-01
 3.1000000000000000E+05, 9.5007872042641317E-01,-5.9063499914545947E-01,-3.5701930698351404E-02, 7.5770774042556477E-01, 7.6522613821605905E+00, 1.4172309495339366E-01
 3.2000000000000000E+05, 1.2851535293306109E+00, 2.4234591884608914E-01,-2.6476717734758209E-02, 1.1552031768734592E+00, 6.2231772358507076E+00, 1.0202184759542025E-01
 3.3000000000000000E+05,-4.2521725222173601E-01,-6.7345514057711797E-01,-3.6696361549740418E-03, 1.0633476551893908E+01,-1.3090013727393526E+00,-2.8850836906919031E-01
 3.4000000000000000E+05,-2.2086244878877456E-01,-1.4023170663488909E+00,-2.3957953686745411E-02, 5.2401338282781218E+00,-1.6727620183052938E+00,-1.6370751376939796E-01
 3.5000000000000000E+05,-4.8308188411665770E-01,-1.7589325159596042E-01, 8.1758196591948228E-03, 5.0750758886333536E+00,-1.4128262800173143E+01,-4.2061736912407810E-01
 3.6000000000000000E+05,-1.2336982664485960E+00, 7.1184072890389327E-01, 4.5205066138736094E-02,-2.2371658256492530E+00,-4.9649690102704946E+00,-4.9095065205062086E-02
 3.7000000000000000E+05,-7.4673180776930592E-01, 1.3890909807897217E-01, 2.1244799311714916E-02,-6.8941312783123294E+00,-9.0529448253124656E+00,-2.0402626955966306E-02
 3.8000000000000000E+05, 1.0123409743885241E+00, 8.5350418140976969E-01,-6.9736422310866727E-03,-5.2518282321986440E+00, 3.1958817617515471E+00, 1.9590642097310351E-01
 3.9000000000000000E+05, 1.5487714528277463E-01, 1.0807591336372540E+00, 1.8840935444046136E-02,-6.4570204024386078E+00, 4.7734327462117321E+00, 2.5854958334922284E-01
 4.0000000000000000E+05, 4.7197085490539781E-01,-1.0055218171258005E+00,-3.2655532104369424E-02, 4.8258436331489927E+00, 6.0709010397583407E+00, 8.7065423865061789E-03
 4.1000000000000000E+05, 1.2122814297453932E+00,-5.0265155425642605E-01,-4.0296375466705309E-02, 4.3233882315158763E+00, 4.5737082682928687E+00,-1.0325283562064955E-02
 4.2000000000000000E+05,-7.0858142017061365E-01,-3.3903185298457289E-01, 1.0294475201319592E-02, 8.3634672240438697E+00,-6.8902422271107717E+00,-3.4970890405460475E-01
 4.3000000000000000E+05,-9.5514344707009990E-01,-1.0527585362035219E+00, 1.3945819921923799E-03, 3.4846143818443256E+00,-4.2394908215170934E+00,-1.7438145749094897E-01
 4.4000000000000000E+05,-5.0536432693862254E-01, 8.8879887116009415E-02, 1.4270335726503472E-02,-2.9869916453398995E+00,-1.4746383025965011E+01,-2.3562081058706411E-01
 4.5000000000000000E+05,-6.3972488530664251E-01, 1.2710594823255934E+00, 4.2337815921944015E-02,-4.5804501276272873E+00,-2.9633908082252316E+00, 5.0375605415722335E-02
 4.6000000000000000E+05,-5.6688572310584440E-01, 5.2164658393088459E-01, 2.4848013618776390E-02,-1.0540242167856064E+01,-3.9152478212435629E+00, 1.7676288341997168E-01
 4.7000000000000000E+05, 1.3094889530375207E+00, 1.5940843693352100E-01,-2.8811894878977395E-02,-2.6881914335834103E+00, 5.5664914174618829E+00, 1.8262973077436781E-01
 4.8000000000000000E+05, 7.2304325734324826E-01, 8.2927638632337142E-01,-3.7815434328050007E-04,-2.8129648307982169E+00, 7.4477620094236077E+00, 2.2510888409717292E-01
 4.9000000000000000E+05,-1.5003853555632793E-01,-1.0927201888756635E+00,-1.9210340444986818E-02, 7.4070999413207419E+00, 2.5067442344464514E+00,-1.2934553307575339E-01
 5.0000000000000000E+05, 7.4158349882527008E-01,-1.0885418268441902E+00,-4.1014706011748281E-02, 6.0777743782993250E+00, 1.4858310490930502E+00,-1.1809648343600582E-01
 5.1000000000000000E+05,-7.6931702944290781E-01, 8.8473279357084378E-02, 2.0742621619357790E-02, 3.4016808692496507E+00,-1.0423189618700397E+01,-3.0190350167482288E-01
