 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00, 3.3473818717761439E-01,-2.1061105379199779E-01,-4.7921461216598432E-02, 3.4542567045284884E+00, 9.1700124330497523E+00, 4.3230749472174745E-01
 1.0000000000000000E+04, 6.3874543809480239E-02,-2.2522987064218364E-01,-2.4263342019812568E-02, 1.9236765187444060E+01,-8.3857530708206394E+00,-2.4501992183280881E+00
 2.0000000000000000E+04, 1.4294477911205156E-01, 3.6751080903305000E-01, 1.6912260649932325E-02,-9.8390042492058463E+00, 1.2670457239810389E+00, 1.0062840509454161E+00
 3.0000000000000000E+04, 2.1478695481239182E-01, 1.3435554751156081E-01,-8.7296888099494437E-03, 2.7417554503310084E+00, 1.9393300869483117E+01, 1.3329868387976209E+00
 4.0000000000000000E+04,-3.8153025005273400E-01, 5.6004113620597019E-02, 3.9582443373545356E-02, 1.2966258049119119E+00,-1.0142509961428457E+01,-9.4767445893036495E-01
 5.0000000000000000E+04,-1.9804928958594004E-01, 1.8161626010537318E-01, 3.3010785758541369E-02,-1.8060301458378987E+01,-2.6105298164878512E+00, 1.4437915278075915E+00
 6.0000000000000000E+04, 1.7910150900056550E-02,-3.7927063152008628E-01,-3.2632040797770143E-02, 9.8349437093387095E+00, 3.7382527714782867E+00,-5.9694799009868604E-01
 7.0000000000000000E+04,-1.4027248776761020E-01,-2.4359381372939637E-01,-7.0326752814153003E-03, 6.2047780046687873E+00,-1.6294089323704362E+01,-1.9006340525336129E+00
 8.0000000000000000E+04, 3.6415458285966879E-01, 9.4400322446409612E-02,-2.5699210746864733E-02,-5.9044948812235010E+00, 8.8964190337360236E+00, 1.2686472609057686E+00
 9.0000000000000000E+04, 2.8606588034375918E-01,-7.7736021180784626E-02,-3.2598925841564930E-02, 1.3250235788994816E+01, 9.6727277282306652E+00,-4.2542856889335035E-01
 1.0000000000000000E+05,-1.6451292849766519E-01, 3.2366409558187076E-01, 4.1539899044423491E-02,-7.4773444061332608E+00,-8.3696161806475544E+00, 2.2203480885273630E-03
 1.1000000000000000E+05, 1.2043612443652360E-02, 3.0925586027139951E-01, 2.4163056651769779E-02,-1.1893590886563668E+01, 9.8720630592549483E+00, 1.8978811803151716E+00
 1.2000000000000000E+05,-2.7830057962138560E-01,-2.2552159824536730E-01, 7.1084339077629429E-03, 1.0125455623168982E+01,-5.4385407669808021E+00,-1.3734034919658302E+00
 1.3000000000000000E+05,-3.1608752337033941E-01,-6.0986571561328133E-02, 2.4019019111876976E-02,-6.5680616618498799E+00,-1.3279934306318257E+01,-4.8241213564856078E-01
 1.4000000000000000E+05, 2.7030152792985790E-01,-2.1930857426681274E-01,-4.2719841683996264E-02, 3.1763411597119084E+00, 1.1470372200518252E+01, 6.4576055357353290E-01
 1.5000000000000000E+05, 1.3063847589102140E-01,-3.0429010056864259E-01,-3.6848840774174003E-02, 1.3785171077786600E+01,-3.0437672213970410E+00,-1.5135259115396409E+00
 1.6000000000000000E+05, 1.5125194300051606E-01, 3.0256265379940539E-01, 1.0843391577288145E-02,-1.2401948167622155E+01, 2.9547807505747503E-01, 1.1620589593459665E+00
 1.7000000000000000E+05, 2.7779661577335629E-01, 2.0117315261142346E-01,-9.0516105829823758E-03,-2.0085963159151010E-01, 1.3523024415064787E+01, 1.1233432706992397E+00
 1.8000000000000000E+05,-3.1765083286750323E-01, 7.6690222246959872E-02, 3.5411493461691805E-02, 2.7091350971965458E+00,-1.2607623658322064E+01,-1.2786913602573791E+00
 1.9000000000000000E+05,-2.6585243254740931E-01, 2.3286130990873241E-01, 4.3418964979915396E-02,-1.2375706098719558E+01,-3.4426423745014350E+00, 8.5422387051692561E-01
 2.0000000000000000E+05,-4.5517535724543257E-03,-3.1402607420266743E-01,-2.5240213215081100E-02, 1.2178375162699595E+01, 5.9909569422680864E+00,-6.2790527205793389E-01
 2.1000000000000000E+05,-1.7930377698946370E-01,-3.1356927875381013E-01,-9.1688587606782619E-03, 5.8293308097531034E+00,-1.0982250113610327E+01,-1.4321758818068724E+00
 2.2000000000000000E+05, 2.9791785313782931E-01, 6.2396446858813161E-02,-2.2236700983112128E-02,-8.7480746203991302E+00, 1.0913106332611783E+01, 1.6943300644132420E+00
 2.3000000000000000E+05, 3.5175992199910550E-01,-1.1039124386616073E-01,-4.1294686031078089E-02, 8.9387502956167957E+00, 7.9892507455993682E+00,-1.6738698043799893E-01
 2.4000000000000000E+05,-1.2640585627253706E-01, 2.5765262547155776E-01, 3.2649918108283660E-02,-8.8284481335950407E+00,-1.2043628256454586E+01,-1.7400101426185302E-01
 2.5000000000000000E+05, 3.4253253011558377E-02, 3.7673656451078746E-01, 2.7638840521594488E-02,-9.5019066743046192E+00, 6.3451581078239006E+00, 1.3902671535139952E+00
 2.6000000000000000E+05,-2.1121340326591342E-01,-1.7623614918775210E-01, 4.9799032972817460E-03, 1.4358720016288437E+01,-5.9964587489499301E+00,-1.8074037302374839E+00
 2.7000000000000000E+05,-3.8028016211645854E-01,-4.2067588134515034E-02, 3.1454686259324453E-02,-4.1125234201832903E+00,-1.0439834416245953E+01,-4.7566173544895574E-01
 2.8000000000000000E+05, 2.0937483708316995E-01,-1.5875980412183402E-01,-3.2182427087246036E-02, 2.8226373053273526E+00, 1.5994933697851579E+01, 1.0478983032020641E+00
 2.9000000000000000E+05, 1.2047969436287878E-01,-3.7123075007898276E-01,-4.1386201965070875E-02, 1.0664383072713308E+01,-1.3437031461970519E+00,-1.0882784571162758E+00
 3.0000000000000000E+05, 8.5236529993002963E-02, 2.2780152035772416E-01, 1.0792065434533446E-02,-1.7356066556141204E+01,-1.8381833010709152E+00, 1.4422812593993746E+00
 3.1000000000000000E+05, 3.4218825759740384E-01, 1.9961956518426349E-01,-1.5086677829522378E-02,-1.2068167617474725E+00, 1.0392389763973883E+01, 9.5985091298882086E-01
 3.2000000000000000E+05,-2.2652969515975738E-01, 1.9814972009648324E-02, 2.2403795254823916E-02, 6.2120966941608735E+00,-1.7305238954194582E+01,-1.9839226725105052E+00
 3.3000000000000000E+05,-2.6403389166503227E-01, 2.9923540355930583E-01, 4.8675277625410518E-02,-9.5784726692304005E+00,-3.5254559265686205E+00, 5.9080279290392124E-01
