 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00,-4.6411665443250860E-01, 5.4731602408177948E-01, 3.4285183291441222E-02,-5.6604735395166133E+00,-4.8179453030651640E+00, 2.6066744590704216E-01
 1.0000000000000000E+04,-8.7917379095639459E-02, 3.9910998875468617E-01, 1.0542728363645327E-02,-1.4483539964826129E+01, 5.0771411718045121E+00, 9.0546099653109891E-01
 2.0000000000000000E+04,-3.2556028539718410E-03,-6.0184213635307859E-01,-8.0587364454537125E-03, 8.8841559986015799E+00, 3.9018575345899467E+00,-4.5926921644449276E-01
 3.0000000000000000E+04,-1.0245318703702494E-01,-6.5779130330484814E-01,-3.1003525019150636E-03, 7.4166857561550046E+00,-4.4461783063835538E+00,-4.8896409290510096E-01
 4.0000000000000000E+04,-5.8765969786475677E-02, 2.7922592733067175E-01, 7.2176165968048222E-03,-1.7432758919034953E+01,-7.9378976295737944E+00, 8.9733395686229322E-01
 5.0000000000000000E+04, 5.6313058768963853E-01, 4.3498406244504834E-01,-2.6539820049549304E-02,-5.1427162466578933E+00, 5.4998911266760571E+00, 3.7216418045553007E-01
 6.0000000000000000E+04, 4.4672150818438039E-01, 1.5522431234812123E-01,-2.3654826596803073E-02, 3.0812704741984236E+00, 1.3011338185858749E+01, 4.5520785551439458E-04
 7.0000000000000000E+04,-5.5541969713863393E-01,-2.4290042875357160E-04, 3.2051757816113462E-02, 4.6979862658452722E+00,-9.6017757597797218E+00,-4.0270265723981785E-01
 8.0000000000000000E+04,-6.7599836199660268E-01, 1.3019933779353857E-01, 4.0798106749606947E-02,-3.8852463077720918E+00,-7.1424729738561537E+00, 1.2636187971813184E-01
 9.0000000000000000E+04, 1.6967258167844240E-01, 1.7922106674413413E-01,-7.3366165288560620E-03,-1.4969150356086161E+01, 1.5626387045390485E+01, 1.0780362037324229E+00
 1.0000000000000000E+05, 4.0073775462236660E-01,-5.7159227376304933E-01,-3.0960020544250573E-02, 5.4207213315334819E+00, 5.5789954159645738E+00,-2.3640241727041550E-01
 1.1000000000000000E+05, 2.0089663986967132E-01,-4.9116151857682333E-01,-1.8324449435386938E-02, 1.1642559701248866E+01,-1.9125296265130443E+00,-6.9813624921904405E-01
 1.2000000000000000E+05,-1.7383403727755535E-02, 5.0241565689049705E-01, 7.8875084634362873E-03,-1.0415846029615521E+01,-5.8143044890704196E+00, 5.2146311215731211E-01
 1.3000000000000000E+05, 1.6288836136861962E-01, 6.8735007259394432E-01, 1.7464498468309836E-05,-6.9536440300196585E+00, 3.4045943730010739E+00, 4.4796833479109499E-01
 1.4000000000000000E+05, 2.5995900841819364E-01,-1.9543088035283110E-02,-1.5270869516539547E-02, 8.1704110974433224E+00, 1.9904990003978735E+01,-1.9879677251940875E-01
 1.5000000000000000E+05,-5.6929028733940834E-01,-3.6791556337865078E-01, 2.7814309859774657E-02, 6.0862353302419638E+00,-5.4364809936474252E+00,-4.2574888532223759E-01
 1.6000000000000000E+05,-5.3219510001800063E-01,-2.3011985810947511E-01, 2.7561544916397510E-02,-1.1843282683503380E+00,-1.0535034952872259E+01,-7.6002866504035552E-02
 1.7000000000000000E+05, 4.3771435189076563E-01, 5.1880590159273869E-02,-2.4551041954482166E-02,-7.3971790852006079E+00, 1.1309628047449760E+01, 5.8188341979203362E-01
 1.8000000000000000E+05, 6.8726255715467177E-01,-1.9685617326902788E-01,-4.2361552937252016E-02, 2.9856615225883631E+00, 6.9062552236321162E+00,-7.7680630468506429E-02
 1.9000000000000000E+05, 1.2530979850504989E-01,-2.9086325147829600E-01,-1.1217536681750566E-02, 1.8851513696146540E+01,-1.1895002893421771E+00,-1.1042813741559747E+00
 2.0000000000000000E+05,-3.3454925552025855E-01, 5.5756850677277114E-01, 2.6947907911635087E-02,-5.5250871312333141E+00,-6.7360542838884596E+00, 2.2657132861841700E-01
 2.1000000000000000E+05,-2.4236182990610944E-01, 5.7244476028981794E-01, 2.1831309311803652E-02,-9.5992148023964479E+00, 6.6373359707844737E-01, 5.6309674526604159E-01
 2.2000000000000000E+05, 1.0276725752536668E-01,-3.5944281203284106E-01,-1.0856231405819511E-02, 1.2008712088312832E+01, 9.9030694207527930E+00,-5.5736709133977147E-01
 2.3000000000000000E+05,-2.3073409641524703E-01,-6.8098396121372551E-01, 3.9853650610083115E-03, 6.9467025076956705E+00,-2.6158402493755579E+00,-4.3675996280470264E-01
 2.4000000000000000E+05,-2.9925612909964272E-01,-2.4246037220908034E-01, 1.3948781984763469E-02, 2.2128085154083488E+00,-1.6031879332035277E+01,-3.4738220324155916E-01
 2.5000000000000000E+05, 5.3310492960990097E-01, 3.0688861781623195E-01,-2.6562144760616857E-02,-7.5000534896836761E+00, 5.6883275879528208E+00, 5.1079583265029138E-01
 2.6000000000000000E+05, 6.0834459775736116E-01, 2.4301841851013500E-01,-3.1779641244043720E-02, 2.6769701530534262E-01, 8.8752523694203962E+00, 1.0616179552558183E-01
 2.7000000000000000E+05,-2.5570980026609763E-01,-1.6798168229822652E-01, 1.2456111163952449E-02, 1.3814452636862805E+01,-1.1785162439081935E+01,-9.5876117131020488E-01
 2.8000000000000000E+05,-6.6421271251837710E-01, 2.6137467484123444E-01, 4.1915323617351175E-02,-2.2923376533421704E+00,-7.1287366672779475E+00, 3.4618133983276504E-02
