 t,a,e,inc,omega,varpi,f
 0.0000000000000000E+00, 7.2329740935874731E-01, 6.7383155156108291E-03, 5.9248150192201587E-02, 1.3376918218997362E+00, 9.3729690652356412E-01,-3.0256894025024906E-05
 3.6525000000000000E+05, 7.2330585348649490E-01, 6.3885395893686142E-03, 5.9038787863533809E-02, 1.2886928692289095E+00,-5.3257196528343815E+00, 3.1414870507749084E+00
 7.3050000000000000E+05, 7.2330295920584720E-01, 5.8960691602099264E-03, 5.8717948582234981E-02, 1.2392388985938925E+00, 9.7578111363368336E-01,-2.0021052129538168E-04
 1.0957500000000000E+06, 7.2331176622269344E-01, 5.5304629225019514E-03, 5.8285938816732122E-02, 1.1891937308785863E+00,-5.2853255141400091E+00, 3.1412834306903763E+00
 1.4610000000000000E+06, 7.2330103638504462E-01, 5.0973230213140165E-03, 5.7744507806480168E-02, 1.1385622443111738E+00, 1.0167321487468091E+00,-4.4138669405084771E-04
 1.8262500000000000E+06, 7.2330570267037098E-01, 4.8613234668622666E-03, 5.7099237719440830E-02, 1.0873460440394622E+00,-5.2429178372877150E+00, 3.1411714874128420E+00
 2.1915000000000000E+06, 7.2329987724407385E-01, 4.4841352001636454E-03, 5.6345523426308199E-02, 1.0354044930480304E+00, 1.0603480169764197E+00,-3.7502393111823188E-04
 2.5567500000000000E+06, 7.2331035690323775E-01, 4.2501702944717293E-03, 5.5487000742194939E-02, 9.8282061760934081E-01,-5.1984892473675348E+00, 3.1413523452636842E+00
 2.9220000000000000E+06, 7.2329862685604540E-01, 3.9432330475364635E-03, 5.4534196023488024E-02, 9.2943970335847426E-01, 1.1068137155907705E+00,-1.9942915068560412E-04
 3.2872500000000000E+06, 7.2330468532673964E-01, 3.8552954831060876E-03, 5.3484739156309385E-02, 8.7526048278297763E-01,-5.1508899705354638E+00, 3.1414792937825164E+00
 3.6525000000000000E+06, 7.2330708320813597E-01, 3.6531264024066224E-03, 5.2344469714044009E-02, 8.2016957062895113E-01, 1.1567566193653929E+00,-3.1465027761656124E-05
 4.0177500000000000E+06, 7.2330105105399567E-01, 3.6160817524391671E-03, 5.1117619914171748E-02, 7.6403617030473259E-01, 1.1833245453987122E+00,-3.1415921403989682E+00
 4.3830000000000000E+06, 7.2330230999402922E-01, 3.4341258983112541E-03, 4.9803208975924058E-02, 7.0678291474628041E-01, 1.2109781998140310E+00, 1.7937173956885397E-05
 4.7482500000000000E+06, 7.2330585974280370E-01, 3.4651949039388426E-03, 4.8411148892438569E-02, 6.4842519318674641E-01, 1.2390174954182069E+00,-3.1415325782470997E+00
 5.1135000000000000E+06, 7.2330265675815331E-01, 3.4224237832181205E-03, 4.6949441027149527E-02, 5.8866994810721518E-01, 1.2698131135121464E+00, 1.6356489851942604E-04
 5.4787500000000000E+06, 7.2330431952471586E-01, 3.5399660861039541E-03, 4.5417680220374089E-02, 5.2739083751754567E-01, 1.2999881559781841E+00,-3.1413119590149798E+00
 5.8440000000000000E+06, 7.2330137042629750E-01, 3.4582950731297233E-03, 4.3823435756055282E-02, 4.6435208900631808E-01, 1.3346935956558752E+00, 4.2034239344714296E-04
 6.2092500000000000E+06, 7.2330120449687330E-01, 3.5967021850314951E-03, 4.2172654773452604E-02, 3.9931890012138388E-01, 1.3682195836203572E+00,-3.1411584342795895E+00
 6.5745000000000000E+06, 7.2330737751006102E-01, 3.6237852998752870E-03, 4.0470323117010577E-02, 3.3218063570368900E-01, 1.4074799042736192E+00, 4.3168016396605464E-04
 6.9397500000000000E+06, 7.2329767863638827E-01, 3.7894475529789817E-03, 3.8732343377645362E-02, 2.6250341444644065E-01, 1.4456844395845825E+00,-3.1411952553938987E+00
 7.3050000000000000E+06, 7.2330618875361063E-01, 3.7571859538919326E-03, 3.6958026016411703E-02, 1.8969908389310078E-01, 1.4905347758721172E+00, 4.3574583875133376E-04
 7.6702500000000000E+06, 7.2330428136800129E-01, 3.8896873408730266E-03, 3.5163486641987880E-02, 1.1357897448659590E-01, 1.5353862585916254E+00,-3.1412926236001688E+00
 8.0355000000000000E+06, 7.2330255271271870E-01, 3.8822491776454890E-03, 3.3358993728065028E-02, 3.3428545529197398E-02, 1.5873675515824419E+00, 1.6184592096261645E-04
 8.4007500000000000E+06, 7.2330294047495813E-01, 4.0370838048935168E-03, 3.1552049180328660E-02, 5.1384724333812568E-02, 1.5388985570787879E+00,-3.1415132806109018E+00
 8.7660000000000000E+06, 7.2331300476518556E-01, 4.0358071264565629E-03, 2.9762210497159179E-02, 1.4156360011027638E-01, 1.4197933057312937E+00, 3.4048757131914608E-05
 9.1312500000000000E+06, 7.2330070970919103E-01, 4.1146166842258710E-03, 2.8013394914753940E-02, 2.3806473807946868E-01,-4.9889833043641270E+00, 3.1415925409261831E+00
 9.4965000000000000E+06, 7.2330917366351422E-01, 4.0556835206896199E-03, 2.6315646549124709E-02, 3.4201214393838258E-01, 1.1628189157319162E+00,-6.1839334084593352E-05
 9.8617500000000000E+06, 7.2329945677193752E-01, 4.1690349245143525E-03, 2.4697086102796334E-02, 4.5438045326411813E-01,-5.2558873523845442E+00, 3.1413685190990583E+00
 1.0227000000000000E+07, 7.2331654962172132E-01, 4.1242597942172969E-03, 2.3185141387114222E-02, 5.7644113959460141E-01, 8.8412954025079804E-01,-4.8697365857793088E-04
 1.0592250000000000E+07, 7.2330372903862827E-01, 4.1342315693226389E-03, 2.1810379382567600E-02, 7.0905202088157160E-01,-5.5442618113799185E+00, 3.1408269383027267E+00
 1.0957500000000000E+07, 7.2330247580469154E-01, 4.0200291957862800E-03, 2.0614123622386633E-02, 8.5272215468303358E-01, 5.8704432654777117E-01,-1.3251631213910512E-03
 1.1322750000000000E+07, 7.2330396791527651E-01, 4.0740466545965796E-03, 1.9634724721042135E-02, 1.0077148977191324E+00,-5.8465431064691167E+00, 3.1396221092804124E+00
 1.1688000000000000E+07, 7.2331089514723124E-01, 3.9740584296029790E-03, 1.8902621408215976E-02, 1.1727800214126227E+00, 2.8623650511621457E-01,-2.8501987704473522E-03
