 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00, 7.7698946157662263E-01, 6.0254162502858288E-01,-1.9778593086581267E-05, 4.9379410251887152E-04, 2.2510193680684177E-02,-5.5345456140843285E-08
 3.6525000000000000E+05,-6.5537240620617565E-01, 7.3308702023351568E-01,-1.4356258424243784E-03,-2.9033755644257107E-02, 6.2433647652018536E-03,-4.5966134113454935E-06
 7.3050000000000000E+05,-7.2571563050786270E-01, 7.0840659188059962E-01, 3.7247036700642396E-03, 2.2085336796222217E-02,-4.5249102946446886E-02,-8.3790360738091778E-06
 1.0957500000000000E+06, 7.0062199066153419E-01, 7.3313629731607732E-01, 3.7650780200323948E-03, 2.6886053013189040E-02, 5.2672580890425098E-02,-1.5866722174273992E-05
 1.4610000000000000E+06, 7.0606241534203151E-01, 6.8730047761146063E-01,-7.4863532386676137E-03,-1.7687904245219373E-02, 7.1317664963778029E-03,-2.0539848423620507E-05
 1.8262500000000000E+06,-7.3012409735417949E-01, 6.6154357197661806E-01,-4.5369147108428346E-03,-4.1995909393675729E-02, 1.4504524686785562E-02,-1.4819371633465555E-05
 2.1915000000000000E+06,-6.4429828954844204E-01, 7.8012627341792207E-01, 1.2372662289333149E-02, 1.8136958328090279E-02,-4.8643567625962135E-02,-2.1583018868091137E-05
 2.5567500000000000E+06, 7.7806418952913159E-01, 6.4696816651295297E-01, 4.6153520645149989E-03, 4.5517346932797235E-02, 5.9943515728456971E-02,-3.7227308172470162E-05
 2.9220000000000000E+06, 6.2564049272527922E-01, 7.6496471496187068E-01,-1.6185151831941122E-02,-1.4701292849587400E-02, 9.5026853553947122E-03,-4.3705803734335856E-05
 3.2872500000000000E+06,-7.9739890557534765E-01, 5.8254941539928817E-01,-3.0315077472712437E-03,-9.7977813124454291E-02, 5.0020503932896546E-02,-1.0063425500820588E-05
 3.6525000000000000E+06,-5.5653185322085885E-01, 8.4071787150135469E-01, 2.0761423045325775E-02, 1.5739351900863462E-02,-5.4664336774141002E-02,-2.9914416123021679E-05
 4.0177500000000000E+06, 8.4437401957941749E-01, 5.5335837907936569E-01, 6.9044592598869613E-04, 4.0452840826498981E-01, 2.8546450898194786E-01,-5.8302334328496086E-05
 4.3830000000000000E+06, 5.4158967615370390E-01, 8.4241070898648507E-01,-2.4139105453787630E-02,-1.2810229194226828E-02, 1.1812537426647403E-02,-6.4417632060535126E-05
 4.7482500000000000E+06,-8.5660871468920019E-01, 4.9636573723472227E-01, 2.7222746634537227E-03, 1.2819853012614424E-01,-9.4350712288245001E-02, 9.1406062430212962E-06
 5.1135000000000000E+06,-4.5818021176214174E-01, 8.8001415348006817E-01, 2.6571613525912391E-02, 1.4372547493870158E-02,-6.5118000599561562E-02,-3.3294532552747835E-05
 5.4787500000000000E+06, 8.9894785767099272E-01, 4.5385492515857595E-01,-7.0926617341604747E-03,-4.2726923176744140E-02,-2.4523578704920774E-03,-7.8431000040567601E-05
 5.8440000000000000E+06, 4.4329526051908763E-01, 9.0289916353140076E-01,-2.9017773434530769E-02,-1.1835098497859643E-02, 1.4664884947467639E-02,-7.6948896568260967E-05
 6.2092500000000000E+06,-9.0679344872816936E-01, 4.0335630901658343E-01, 1.1580718979173227E-02, 2.9629272738903190E-02,-3.2132050658457215E-02, 3.9107953811742767E-05
 6.5745000000000000E+06,-3.6446268788466268E-01, 9.2341702479636412E-01, 2.9137409361708121E-02, 1.3349819678071206E-02,-8.0975977167966381E-02,-3.3583985594265049E-05
 6.9397500000000000E+06, 9.4143815060852021E-01, 3.5011218419518769E-01,-1.7089570496895915E-02,-1.6435667615124702E-02, 1.2141437919360704E-02,-9.6893114334306205E-05
 7.3050000000000000E+06, 3.3561242335331115E-01, 9.4579673467850811E-01,-2.9457075744393532E-02,-1.1490015191317992E-02, 1.8821697771321758E-02,-7.8100840415371085E-05
 7.6702500000000000E+06,-9.4699139246772102E-01, 3.0406018450272621E-01, 2.1820236150443307E-02, 1.3054920713952776E-02,-2.2336918077614263E-02, 7.3641515927868538E-05
 8.0355000000000000E+06,-2.6733275688614500E-01, 9.5835806030417492E-01, 2.7437682675757472E-02, 1.2762682245121761E-02,-1.1002750979213922E-01,-3.0915725348775223E-05
 8.4007500000000000E+06, 9.7208735759610798E-01, 2.4368217264969391E-01,-2.7298333398948112E-02,-7.9505355310452025E-03, 1.5682747598027423E-02,-1.1284302879517676E-04
 8.7660000000000000E+06, 2.2407625388504304E-01, 9.7648299728227372E-01,-2.5259047281264865E-02,-1.1643714688262616E-02, 2.5937769436977016E-02,-6.7346247379888874E-05
 9.1312500000000000E+06,-9.7570021107473048E-01, 1.9938141731283016E-01, 3.1426201180860612E-02, 5.9436029235768071E-03,-1.8823952679562925E-02, 1.0527348636527879E-04
 9.4965000000000000E+06,-1.6668712638316222E-01, 9.8217649537298557E-01, 2.1453487370695998E-02, 1.2680341323967939E-02,-1.7779022737631620E-01,-2.5858301734862863E-05
 9.8617500000000000E+06, 9.8658210141673630E-01, 1.3506082285258447E-01,-3.5566800952877300E-02,-3.4065094708655517E-03, 1.6948048003394431E-02,-1.2455648319399895E-04
 1.0227000000000000E+07, 1.1041075100227686E-01, 9.9580920028235453E-01,-1.6974955925468313E-02,-1.2581872619859972E-02, 4.2126042567213529E-02,-4.5761988060913751E-05
 1.0592250000000000E+07,-9.9742643290355770E-01, 9.1232857174028251E-02, 3.8680512381153394E-02, 1.6538073205721823E-03,-1.7375656596345979E-02, 1.2806188756840411E-04
 1.0957500000000000E+07,-6.3349589437298792E-02, 9.9351313225586102E-01, 1.2019662774967712E-02, 1.3702856802195148E-02,-4.8609095408902175E-01,-1.9068539424184043E-05
 1.1322750000000000E+07, 9.9403712458441473E-01, 2.6739321010982916E-02,-4.0558519816886240E-02,-6.1254949224010747E-05, 1.7281076410682085E-02,-1.3248866381782633E-04
 1.1688000000000000E+07,-4.3502744256575226E-03, 1.0034824531768178E+00,-5.8924874771725221E-03,-1.7654943869141591E-02, 1.2339306997724472E-01,-1.6144031579148394E-05
 1.2053250000000000E+07,-1.0028452068276581E+00, 2.0392158812795925E-02, 4.1786643049761603E-02,-1.5195741082415352E-03,-1.7100133493804334E-02, 1.3620426233572317E-04
 1.2418500000000000E+07, 4.1394539792768102E-02, 9.9310564981416749E-01, 6.9582778468460168E-04, 5.9455104839908769E-02, 1.8414244884974298E+00,-1.1266956392452921E-05
 1.2783750000000000E+07, 9.8932703321404780E-01, 8.1281122349857668E-02,-4.1083770117127640E-02, 2.9068546230876556E-03, 1.7604060696294027E-02,-1.3127525163002227E-04
 1.3149000000000000E+07,-1.1878408064432244E-01, 9.9806942632514550E-01, 6.1007273507916867E-03, 3.2146283811924597E-03,-1.7164333305188173E-01, 1.0292948415135439E-05
 1.3514250000000000E+07,-9.9602837893219165E-01, 1.3273672848197418E-01, 4.0128719818789911E-02,-2.0304543347352149E-03,-1.6978150552012961E-02, 1.3384736312394122E-04
 1.3879500000000000E+07, 1.4639819838734328E-01, 9.8207326784385607E-01,-1.0561360712199550E-02,-7.3910779524522388E-03, 6.7772353036624502E-02,-2.8362467529036634E-05
 1.4244750000000000E+07, 9.7322550861184376E-01, 1.8790744905621878E-01,-3.6950206869358342E-02, 2.1118875973893971E-04, 1.7694114644673548E-02,-1.2281293745030898E-04
 1.4610000000000000E+07,-2.3113405305524370E-01, 9.7784880922900730E-01, 1.6812639957851244E-02, 8.2994858205343008E-03,-1.0944673775856702E-01, 2.4768818042033548E-06
 1.4975250000000000E+07,-9.7655669816854829E-01, 2.4404019637787602E-01, 3.3853756246580061E-02, 1.6374711631294539E-03,-1.8003383341548801E-02, 1.1441912914511390E-04
 1.5340500000000000E+07, 2.5354426195253266E-01, 9.7140891924919626E-01,-1.9968875379017096E-02,-8.9717925269823928E-03, 3.3394037665138501E-02,-5.3130896146979819E-05
 1.5705750000000000E+07, 9.4597023342298359E-01, 2.9199911511206561E-01,-2.8833637368763727E-02,-3.8954942493646953E-03, 1.6961651787543386E-02,-1.0990132745806974E-04
 1.6071000000000000E+07,-3.3599600140133551E-01, 9.3408151766781811E-01, 2.3944431610738476E-02, 1.0010967789318745E-02,-7.8972544649585627E-02,-5.6143018271737101E-06
 1.6436250000000000E+07,-9.4457468109209752E-01, 3.5241692855592455E-01, 2.4087661132473258E-02, 7.4610709810789509E-03,-2.0976003171185299E-02, 8.1942918028905427E-05
 1.6801500000000000E+07, 3.5815427753803775E-01, 9.4172061093449100E-01,-2.5490702516820115E-02,-9.7962086953551370E-03, 2.2222690210365426E-02,-6.7540684616821723E-05
 1.7166750000000000E+07, 9.0782307104518656E-01, 3.9259596080105291E-01,-1.8239799448773849E-02,-1.1167082656590005E-02, 1.4100636672291667E-02,-9.2888017691535746E-05
 1.7532000000000000E+07,-4.3779368634525651E-01, 8.8772283625349058E-01, 2.6547139488784465E-02, 1.1492499034423977E-02,-6.2559049595728000E-02,-1.3197542891162558E-05
 1.7897250000000000E+07,-9.0053237462953195E-01, 4.5634485004862574E-01, 1.2747608667272318E-02, 2.1068173154191919E-02,-2.9761098494628307E-02, 4.3336700465794010E-05
 1.8262500000000000E+07, 4.5887764726844754E-01, 8.9849646955143903E-01,-2.6014283352056418E-02,-1.0802980480836971E-02, 1.6302266736495055E-02,-6.9005727680027015E-05
 1.8627750000000000E+07, 8.5887916339425019E-01, 4.8867890830701349E-01,-7.2562376706153259E-03,-3.4772371425835585E-02, 2.2740970186229528E-04,-7.2517303878657003E-05
